i,j,k,q,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19
124,842,270900.0,1864500.249,1864500.249,43597617.699,15507.023,26507.369,2888.378,54364.879,22691.401,4775.124,140.488,899.553,530.748,498784.943,2.137,2294772.470,25.617,2273.825,3092.329,768.593,5927.456,6168.845
124,842,271000.0,43597617.699,1864500.249,43597617.699,15507.023,26507.369,2888.378,54364.879,22691.401,4775.124,140.488,899.553,530.748,498784.943,2.137,2294772.470,25.617,2273.825,3092.329,768.593,5927.456,6168.845
124,842,271121.0,2294772.470,1864500.249,43597617.699,15507.023,26507.369,2888.378,54364.879,22691.401,4775.124,140.488,899.553,530.748,498784.943,2.137,2294772.470,25.617,2273.825,3092.329,768.593,5927.456,6168.845
124,842,300490.0,22691.401,1864500.249,43597617.699,15507.023,26507.369,2888.378,54364.879,22691.401,4775.124,140.488,899.553,530.748,498784.943,2.137,2294772.470,25.617,2273.825,3092.329,768.593,5927.456,6168.845
124,842,847120.0,768.593,1864500.249,43597617.699,15507.023,26507.369,2888.378,54364.879,22691.401,4775.124,140.488,899.553,530.748,498784.943,2.137,2294772.470,25.617,2273.825,3092.329,768.593,5927.456,6168.845
124,842,847191.0,2273.825,1864500.249,43597617.699,15507.023,26507.369,2888.378,54364.879,22691.401,4775.124,140.488,899.553,530.748,498784.943,2.137,2294772.470,25.617,2273.825,3092.329,768.593,5927.456,6168.845
124,842,847192.0,899.553,1864500.249,43597617.699,15507.023,26507.369,2888.378,54364.879,22691.401,4775.124,140.488,899.553,530.748,498784.943,2.137,2294772.470,25.617,2273.825,3092.329,768.593,5927.456,6168.845
124,842,847193.0,530.748,1864500.249,43597617.699,15507.023,26507.369,2888.378,54364.879,22691.401,4775.124,140.488,899.553,530.748,498784.943,2.137,2294772.470,25.617,2273.825,3092.329,768.593,5927.456,6168.845
124,842,847330.0,26507.369,1864500.249,43597617.699,15507.023,26507.369,2888.378,54364.879,22691.401,4775.124,140.488,899.553,530.748,498784.943,2.137,2294772.470,25.617,2273.825,3092.329,768.593,5927.456,6168.845
124,842,852520.0,4775.124,1864500.249,43597617.699,15507.023,26507.369,2888.378,54364.879,22691.401,4775.124,140.488,899.553,530.748,498784.943,2.137,2294772.470,25.617,2273.825,3092.329,768.593,5927.456,6168.845
124,842,852810.0,6168.845,1864500.249,43597617.699,15507.023,26507.369,2888.378,54364.879,22691.401,4775.124,140.488,899.553,530.748,498784.943,2.137,2294772.470,25.617,2273.825,3092.329,768.593,5927.456,6168.845
