population,inflation,exports,imports,income,gni,fdi,industry,agri,iso_code
10071370,3.93032603841,73.7805883647303,75.2280481301423,8.7,11240,18678720024.6862,27.1918537084343,3.53561117005674,348
303782,6.68707906136661,30.4055619713608,47.1305912305027,8.9,53450,3876554983.10737,22.0265376045625,4.75313892763431,352
231797427,13.1086720985297,31.0347163143166,25.6224105005701,7.9,1360,4914201435.40071,46.9435587410796,12.9738027192484,360
71275760,10.0158982511924,29.8690352505831,23.2983234638014,5,3450,2317538500,48.2599008746838,7.11821124095933,364
28905607,53.230962911428,51.0319434096732,38.6185770761987,9.3,1730,383000000,61.4441919202983,5.82603290514173,368
4273591,3.93163989540532,79.0346762561037,70.9871284806495,7.9,47950,22070063905.101,30.0803731990164,0.921152718855531,372
7053700,2.06080391756786,39.6333076683141,39.455656577766,4.8,23030,14395500000,21.4730552050679,1.82073471167176,376
58143979,2.09084391012755,26.1734884330826,26.9946907515411,6.9,34280,56995485107.0101,23.4009524651076,1.94583994660095,380
2689660,8.56106408706169,40.1315252646825,60.6140735603109,6.9,4180,842342788.336148,21.2201148487383,5.15582607453948,388
127854000,0.249355116079115,15.6573740466117,14.3590020520575,6.9,40590,-2396909736.30508,29.6655718124813,1.08249674589504,392
6075548,6.25172466656442,53.8743278940368,87.873053937089,8,2480,3544005641.74894,24.8496543455046,2.58350975139105,400
15308085,8.72169386091735,50.9752978421833,40.478228955154,8.9,3860,7611168450,39.3564557485124,5.49583486199441,398
36925253,14.4537342081708,22.9849396441861,32.2515454815442,6.9,590,50674725.1830696,19.3841059353688,20.5196878049409,404
100083,4.267174633902665,10.3961965134707,85.4431936171376,6.6,1610,568432.866937296,9.95150008197169,22.0419148587354,296
24235761,4.267174633902665,37.791482499104,40.7293250807417,6.9,3525.0,-235790933.5,24.8591176319147,7.82080658741648,408
48438292,2.24234028518923,35.6264186161218,35.0254549142976,7.3,20800,9161900000,33.5172729953167,2.49747041944548,410
2363409,3.05701339166724,65.5457337246984,24.1673594733538,6.9,42480,121305596.280329,24.8591176319147,0.236515719642342,414
5218400,5.5521233316254,41.7206136022728,79.0293681639999,7.3,500,182022902.5,17.5544661208558,28.6802911420992,417
5946593,6.54559439052785,38.1550775230179,43.8062978935092,6.9,510,187310641,26.1754512486046,26.7296699146578,418
2218357,6.53619908765875,39.7452403866307,60.3877423338715,6.8,8930,1705667383.81543,20.7526474305579,3.25596909159017,428
4719864,4.267174633902665,35.5896575059132,55.4797395221742,6.9,4900,2674534372.19901,15.0081513758126,4.46973485888042,422
1976780,6.07271879734295,37.791482499104,40.7293250807417,6.9,1140,24322286.6909769,35.4813196531581,4.8427648086475,426
3455397,7.3414460827856,37.791482499104,40.7293250807417,6.9,280,107856671.533941,7.7032618409294,63.8180250223414,430
5973369,1.45926876202724,71.8393272703549,25.8987738493833,6.9,8710,2064000000,86.6695550057577,1.51764483817067,434
3269909,3.73912004060656,57.0374548746781,67.297988454054,6.9,8800,2259381844.95682,30.0299406014753,3.86424460586287,440
472637,2.66631494577072,167.740311680643,138.139235807883,8.2,71370,32219534640.5467,13.5205791243289,0.311756721900439,442
501863,5.14997337750695,78.5453812156553,50.2403078629405,6.9,25770,2916866632.75465,14.1017023207354,7.82080658741648,446
2040228,3.21362929606349,37.791482499104,54.7601839684625,6.9,3350,427444589.2688,21.6625851152789,8.98936805638514,807
19350299,10.7656371554866,27.4869137820183,34.6159251568192,6.9,320,294681941.542683,24.8591176319147,30.182271724487,450
13118307,13.9742943548388,37.791482499104,40.7293250807417,6.9,300,35561803.9812517,16.3009176389003,30.8673246525606,454
