i,j,k,q,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9
156,842,270900.0,185763.724,185763.724,763567.547,0.007,954.956,188.095,2477.857,46051.663,262092.166,0,0
156,842,271000.0,763567.547,185763.724,763567.547,0.007,954.956,188.095,2477.857,46051.663,262092.166,0,0
156,842,300490.0,2477.857,185763.724,763567.547,0.007,954.956,188.095,2477.857,46051.663,262092.166,0,0
156,842,710812.0,0.007,185763.724,763567.547,0.007,954.956,188.095,2477.857,46051.663,262092.166,0,0
156,842,847120.0,262092.166,185763.724,763567.547,0.007,954.956,188.095,2477.857,46051.663,262092.166,0,0
156,842,852520.0,46051.663,185763.724,763567.547,0.007,954.956,188.095,2477.857,46051.663,262092.166,0,0
156,842,854219.0,954.956,185763.724,763567.547,0.007,954.956,188.095,2477.857,46051.663,262092.166,0,0
156,842,870323.0,188.095,185763.724,763567.547,0.007,954.956,188.095,2477.857,46051.663,262092.166,0,0
124,842,270900.0,3125785.236,3125785.236,12842485.803,48.536,0.492,1401555.046,843.027,1651.383,2093.604,17632313.945,0
124,842,271000.0,12842485.803,3125785.236,12842485.803,48.536,0.492,1401555.046,843.027,1651.383,2093.604,17632313.945,0
124,842,271121.0,17632313.945,3125785.236,12842485.803,48.536,0.492,1401555.046,843.027,1651.383,2093.604,17632313.945,0
124,842,300490.0,843.027,3125785.236,12842485.803,48.536,0.492,1401555.046,843.027,1651.383,2093.604,17632313.945,0
124,842,710812.0,48.536,3125785.236,12842485.803,48.536,0.492,1401555.046,843.027,1651.383,2093.604,17632313.945,0
124,842,847120.0,2093.604,3125785.236,12842485.803,48.536,0.492,1401555.046,843.027,1651.383,2093.604,17632313.945,0
124,842,852520.0,1651.383,3125785.236,12842485.803,48.536,0.492,1401555.046,843.027,1651.383,2093.604,17632313.945,0
124,842,854219.0,0.492,3125785.236,12842485.803,48.536,0.492,1401555.046,843.027,1651.383,2093.604,17632313.945,0
124,842,870323.0,1401555.046,3125785.236,12842485.803,48.536,0.492,1401555.046,843.027,1651.383,2093.604,17632313.945,0
156,344,271000.0,4929043.325,0,4929043.325,269.705,15814.367,58.890,13413.586,169410.788,141387.809,2092646.398,0
156,344,271121.0,2092646.398,0,4929043.325,269.705,15814.367,58.890,13413.586,169410.788,141387.809,2092646.398,0
156,344,300490.0,13413.586,0,4929043.325,269.705,15814.367,58.890,13413.586,169410.788,141387.809,2092646.398,0
156,344,710812.0,269.705,0,4929043.325,269.705,15814.367,58.890,13413.586,169410.788,141387.809,2092646.398,0
156,344,847120.0,141387.809,0,4929043.325,269.705,15814.367,58.890,13413.586,169410.788,141387.809,2092646.398,0
156,344,852520.0,169410.788,0,4929043.325,269.705,15814.367,58.890,13413.586,169410.788,141387.809,2092646.398,0
156,344,854219.0,15814.367,0,4929043.325,269.705,15814.367,58.890,13413.586,169410.788,141387.809,2092646.398,0
156,344,870323.0,58.890,0,4929043.325,269.705,15814.367,58.890,13413.586,169410.788,141387.809,2092646.398,0
484,842,270900.0,47975403.976,47975403.976,2642705.517,124.557,3.012,1087022.662,44598.180,4511.838,9791.197,3364.838,87.342
484,842,271000.0,2642705.517,47975403.976,2642705.517,124.557,3.012,1087022.662,44598.180,4511.838,9791.197,3364.838,87.342
484,842,271111.0,87.342,47975403.976,2642705.517,124.557,3.012,1087022.662,44598.180,4511.838,9791.197,3364.838,87.342
484,842,271121.0,3364.838,47975403.976,2642705.517,124.557,3.012,1087022.662,44598.180,4511.838,9791.197,3364.838,87.342
484,842,300490.0,44598.180,47975403.976,2642705.517,124.557,3.012,1087022.662,44598.180,4511.838,9791.197,3364.838,87.342
484,842,710812.0,124.557,47975403.976,2642705.517,124.557,3.012,1087022.662,44598.180,4511.838,9791.197,3364.838,87.342
484,842,847120.0,9791.197,47975403.976,2642705.517,124.557,3.012,1087022.662,44598.180,4511.838,9791.197,3364.838,87.342
484,842,852520.0,4511.838,47975403.976,2642705.517,124.557,3.012,1087022.662,44598.180,4511.838,9791.197,3364.838,87.342
484,842,854219.0,3.012,47975403.976,2642705.517,124.557,3.012,1087022.662,44598.180,4511.838,9791.197,3364.838,87.342
484,842,870323.0,1087022.662,47975403.976,2642705.517,124.557,3.012,1087022.662,44598.180,4511.838,9791.197,3364.838,87.342
842,124,270900.0,3533647.184,3533647.184,11801551.545,35.191,19.920,517775.024,21546.434,1263.181,9491.492,5477553.327,181215.345
842,124,271000.0,11801551.545,3533647.184,11801551.545,35.191,19.920,517775.024,21546.434,1263.181,9491.492,5477553.327,181215.345
842,124,271111.0,181215.345,3533647.184,11801551.545,35.191,19.920,517775.024,21546.434,1263.181,9491.492,5477553.327,181215.345
842,124,271121.0,5477553.327,3533647.184,11801551.545,35.191,19.920,517775.024,21546.434,1263.181,9491.492,5477553.327,181215.345
842,124,300490.0,21546.434,3533647.184,11801551.545,35.191,19.920,517775.024,21546.434,1263.181,9491.492,5477553.327,181215.345
842,124,710812.0,35.191,3533647.184,11801551.545,35.191,19.920,517775.024,21546.434,1263.181,9491.492,5477553.327,181215.345
842,124,847120.0,9491.492,3533647.184,11801551.545,35.191,19.920,517775.024,21546.434,1263.181,9491.492,5477553.327,181215.345
842,124,852520.0,1263.181,3533647.184,11801551.545,35.191,19.920,517775.024,21546.434,1263.181,9491.492,5477553.327,181215.345
842,124,854219.0,19.920,3533647.184,11801551.545,35.191,19.920,517775.024,21546.434,1263.181,9491.492,5477553.327,181215.345
842,124,870323.0,517775.024,3533647.184,11801551.545,35.191,19.920,517775.024,21546.434,1263.181,9491.492,5477553.327,181215.345
842,484,270900.0,0.275,0.275,21750958.835,1.368,5.633,187249.397,14725.983,2349.604,3307.041,3165418.007,4339.023
842,484,271000.0,21750958.835,0.275,21750958.835,1.368,5.633,187249.397,14725.983,2349.604,3307.041,3165418.007,4339.023
842,484,271111.0,4339.023,0.275,21750958.835,1.368,5.633,187249.397,14725.983,2349.604,3307.041,3165418.007,4339.023
842,484,271121.0,3165418.007,0.275,21750958.835,1.368,5.633,187249.397,14725.983,2349.604,3307.041,3165418.007,4339.023
842,484,300490.0,14725.983,0.275,21750958.835,1.368,5.633,187249.397,14725.983,2349.604,3307.041,3165418.007,4339.023
842,484,710812.0,1.368,0.275,21750958.835,1.368,5.633,187249.397,14725.983,2349.604,3307.041,3165418.007,4339.023
842,484,847120.0,3307.041,0.275,21750958.835,1.368,5.633,187249.397,14725.983,2349.604,3307.041,3165418.007,4339.023
842,484,852520.0,2349.604,0.275,21750958.835,1.368,5.633,187249.397,14725.983,2349.604,3307.041,3165418.007,4339.023
842,484,854219.0,5.633,0.275,21750958.835,1.368,5.633,187249.397,14725.983,2349.604,3307.041,3165418.007,4339.023
842,484,870323.0,187249.397,0.275,21750958.835,1.368,5.633,187249.397,14725.983,2349.604,3307.041,3165418.007,4339.023
156,392,270900.0,956899.727,956899.727,283671.302,0,1028.566,959.420,1606.141,12573.293,42606.340,0,0
156,392,271000.0,283671.302,956899.727,283671.302,0,1028.566,959.420,1606.141,12573.293,42606.340,0,0
156,392,300490.0,1606.141,956899.727,283671.302,0,1028.566,959.420,1606.141,12573.293,42606.340,0,0
156,392,847120.0,42606.340,956899.727,283671.302,0,1028.566,959.420,1606.141,12573.293,42606.340,0,0
156,392,852520.0,12573.293,956899.727,283671.302,0,1028.566,959.420,1606.141,12573.293,42606.340,0,0
156,392,854219.0,1028.566,956899.727,283671.302,0,1028.566,959.420,1606.141,12573.293,42606.340,0,0
156,392,870323.0,959.420,956899.727,283671.302,0,1028.566,959.420,1606.141,12573.293,42606.340,0,0
392,156,271000.0,1707790.351,0,1707790.351,1.601,51.333,349124.073,1768.771,1.828,213.410,7.459,0
392,156,271121.0,7.459,0,1707790.351,1.601,51.333,349124.073,1768.771,1.828,213.410,7.459,0
392,156,300490.0,1768.771,0,1707790.351,1.601,51.333,349124.073,1768.771,1.828,213.410,7.459,0
392,156,710812.0,1.601,0,1707790.351,1.601,51.333,349124.073,1768.771,1.828,213.410,7.459,0
392,156,847120.0,213.410,0,1707790.351,1.601,51.333,349124.073,1768.771,1.828,213.410,7.459,0
392,156,852520.0,1.828,0,1707790.351,1.601,51.333,349124.073,1768.771,1.828,213.410,7.459,0
392,156,854219.0,51.333,0,1707790.351,1.601,51.333,349124.073,1768.771,1.828,213.410,7.459,0
392,156,870323.0,349124.073,0,1707790.351,1.601,51.333,349124.073,1768.771,1.828,213.410,7.459,0
392,842,270900.0,0.957,0.957,523352.167,0.003,27.703,1802295.805,856.099,173.578,1372.105,0,0
392,842,271000.0,523352.167,0.957,523352.167,0.003,27.703,1802295.805,856.099,173.578,1372.105,0,0
392,842,300490.0,856.099,0.957,523352.167,0.003,27.703,1802295.805,856.099,173.578,1372.105,0,0
392,842,710812.0,0.003,0.957,523352.167,0.003,27.703,1802295.805,856.099,173.578,1372.105,0,0
392,842,847120.0,1372.105,0.957,523352.167,0.003,27.703,1802295.805,856.099,173.578,1372.105,0,0
392,842,852520.0,173.578,0.957,523352.167,0.003,27.703,1802295.805,856.099,173.578,1372.105,0,0
