iso_code,gdp
4,663.141052810937
8,4247.63004748194
12,5610.73089400516
16,11920.0610903131
20,44904.5800426279
24,4962.55207190082
28,13686.4765853976
32,13082.664325572
51,3643.71518342262
533,25609.9557239373
36,68044.714816234
40,48564.9173350875
31,7496.29464768263
44,28059.6553953426
48,25102.726348527
50,876.817545058129
52,16691.3326357636
112,6953.13251493684
56,44670.5606845101
84,5645.89582239311
204,1112.56953520687
60,98431.8651810241
64,2470.07367669349
68,2562.46678423329
70,4688.37662297884
72,6393.00826546062
76,12327.3174365132
92,6531.203674905755
96,46842.9602563885
100,7432.47876568071
854,733.972934218398
108,238.205949387117
132,3262.6470579856
116,950.482544612158
120,1433.72403512901
124,52669.0899632316
136,75468.8534358117
140,525.86754317732
148,969.616214938776
152,15406.4929435446
156,6300.61511825789
170,8101.82909177914
174,1483.95137964493
180,412.776268166757
178,3753.86120747571
188,9971.65090241867
384,1649.30173900093
191,13443.1352298628
192,6467.33791422804
531,19886.6783682132
196,28993.349609375
203,19870.8012123403
208,58507.5080517852
262,1418.46085811933
212,7054.87597689432
214,6049.47174094956
218,5678.45572070003
818,3059.13542779204
222,3471.05126865498
226,18756.4264233373
232,6531.203674905755
233,17403.2053254767
231,458.550920793057
242,4359.77534993306
246,47708.0612784469
258,19864.5380524315
266,9348.5155721976
270,686.558285433815
268,4421.81824228013
276,43855.8544658618
288,1536.59184802508
292,6531.203674905755
300,21912.9982879517
304,45936.7659516989
308,6900.77178600369
316,31642.1462570316
320,3355.03691881272
324,707.967680829951
624,598.572671326768
328,5461.39096662381
332,1356.17288178571
340,2107.35083070622
344,36730.8767001128
348,12984.8365730133
352,45995.5478789467
360,3668.21207047486
364,8329.00204422921
368,6437.50307624074
372,49054.6974340641
376,33156.2283157638
380,35051.5212697703
388,5365.24229295272
392,49145.2804308193
400,4386.46181582146
398,12386.6992652963
404,1289.78082201489
296,1698.92088345979
408,6531.203674905755
410,25466.7605170594
414,51277.6621064846
417,1177.97473487848
418,1566.00974499584
428,13847.3379393194
422,8500.1805629531
426,1205.86000258954
430,644.455576742833
434,15764.9154546761
440,14367.709424872
442,112584.676270958
446,74111.2672626006
807,4728.30814189843
450,504.173730134152
454,386.906540998121
458,10601.5138881391
462,7447.43257245424
466,753.392193575841
470,22527.7591149889
584,3445.31540332931
478,1850.38496774479
480,9291.22761861899
484,10376.0576664423
583,3023.58544607879
498,3044.80847790641
496,4402.30452253522
499,6586.7212793222
504,2907.44921875
508,667.717424253901
104,1161.30596207229
516,6017.15706904775
520,9280.65889360803
524,794.09276990798
528,50070.1416045904
540,37294.027263924
554,39973.3807587223
558,1746.42562649907
562,525.047323992555
566,2728.02268335423
580,14247.7893007888
512,24722.6388245874
586,1109.67911473926
585,11835.3839295665
591,10767.2931788172
598,2653.15390913735
600,5617.10491786787
604,6475.68607048931
608,2671.77720537356
616,13010.923390231
620,20563.7136012629
634,98041.3622380894
642,8930.72991164974
643,15420.875
646,705.759755829457
882,3902.39170055714
674,48435.9425314096
678,1319.90083269011
682,23878.5852917443
686,1334.72601460415
688,6015.94522756969
690,11998.4472049381
694,560.037399736372
702,55546.4885386921
534,28460.3326151186
703,17498.3539002594
705,22641.805122503
90,2087.51873876072
706,6531.203674905755
710,8173.8691381716
728,1114.92372260191
724,28322.9465923276
144,3449.06690309332
659,17311.6187824424
662,9271.65949133441
670,6754.37018395671
729,1797.37976074219
740,8922.95618613502
748,4396.56251946722
752,58037.8213192173
760,1910.60452580833
762,959.361904957958
834,854.543212890625
764,5748.63124106961
626,1019.96486775121
768,559.190485610988
776,4378.65419644984
780,18961.2335932644
788,4233.89456807077
792,11697.4805131124
795,6441.88661774322
796,22666.4069075154
798,3624.98804230918
800,796.711135048199
804,4004.80444335938
784,44386.7860789846
826,42485.5860695397
842,51784.4185738837
858,15206.8726201223
860,2267.62327535512
548,2906.34246130818
862,12937.9275972349
704,2190.23228396054
275,3067.43872735614
887,1349.99029491959
894,1729.64747097057
716,1290.19395595933
