i,j,k,q,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19
124,842,270900.0,60903627.956,60903627.956,12160572.978,606236.196,1162.877,0,2168135.419,875.436,10510.452,0,85.213,297.341,73411.823,186.337,0,156.163,9.902,331.379,0,137.550,2414.477
124,842,271000.0,12160572.978,60903627.956,12160572.978,606236.196,1162.877,0,2168135.419,875.436,10510.452,0,85.213,297.341,73411.823,186.337,0,156.163,9.902,331.379,0,137.550,2414.477
124,842,271121.0,0,60903627.956,12160572.978,606236.196,1162.877,0,2168135.419,875.436,10510.452,0,85.213,297.341,73411.823,186.337,0,156.163,9.902,331.379,0,137.550,2414.477
124,842,300490.0,297.341,60903627.956,12160572.978,606236.196,1162.877,0,2168135.419,875.436,10510.452,0,85.213,297.341,73411.823,186.337,0,156.163,9.902,331.379,0,137.550,2414.477
124,842,710812.0,156.163,60903627.956,12160572.978,606236.196,1162.877,0,2168135.419,875.436,10510.452,0,85.213,297.341,73411.823,186.337,0,156.163,9.902,331.379,0,137.550,2414.477
124,842,847191.0,186.337,60903627.956,12160572.978,606236.196,1162.877,0,2168135.419,875.436,10510.452,0,85.213,297.341,73411.823,186.337,0,156.163,9.902,331.379,0,137.550,2414.477
124,842,847192.0,10510.452,60903627.956,12160572.978,606236.196,1162.877,0,2168135.419,875.436,10510.452,0,85.213,297.341,73411.823,186.337,0,156.163,9.902,331.379,0,137.550,2414.477
124,842,847193.0,875.436,60903627.956,12160572.978,606236.196,1162.877,0,2168135.419,875.436,10510.452,0,85.213,297.341,73411.823,186.337,0,156.163,9.902,331.379,0,137.550,2414.477
124,842,847330.0,0,60903627.956,12160572.978,606236.196,1162.877,0,2168135.419,875.436,10510.452,0,85.213,297.341,73411.823,186.337,0,156.163,9.902,331.379,0,137.550,2414.477
124,842,847989.0,2414.477,60903627.956,12160572.978,606236.196,1162.877,0,2168135.419,875.436,10510.452,0,85.213,297.341,73411.823,186.337,0,156.163,9.902,331.379,0,137.550,2414.477
124,842,852520.0,0,60903627.956,12160572.978,606236.196,1162.877,0,2168135.419,875.436,10510.452,0,85.213,297.341,73411.823,186.337,0,156.163,9.902,331.379,0,137.550,2414.477
124,842,854211.0,1162.877,60903627.956,12160572.978,606236.196,1162.877,0,2168135.419,875.436,10510.452,0,85.213,297.341,73411.823,186.337,0,156.163,9.902,331.379,0,137.550,2414.477
124,842,854219.0,331.379,60903627.956,12160572.978,606236.196,1162.877,0,2168135.419,875.436,10510.452,0,85.213,297.341,73411.823,186.337,0,156.163,9.902,331.379,0,137.550,2414.477
124,842,870322.0,73411.823,60903627.956,12160572.978,606236.196,1162.877,0,2168135.419,875.436,10510.452,0,85.213,297.341,73411.823,186.337,0,156.163,9.902,331.379,0,137.550,2414.477
