i,j,k,q,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9
124,842,270900.0,1977138.511,1977138.511,22917433.316,586963.775,16115.327,1147.715,23282.134,1579933.626,3559.691,3138.882,62.424
124,842,271000.0,22917433.316,1977138.511,22917433.316,586963.775,16115.327,1147.715,23282.134,1579933.626,3559.691,3138.882,62.424
124,842,300490.0,23282.134,1977138.511,22917433.316,586963.775,16115.327,1147.715,23282.134,1579933.626,3559.691,3138.882,62.424
124,842,847330.0,16115.327,1977138.511,22917433.316,586963.775,16115.327,1147.715,23282.134,1579933.626,3559.691,3138.882,62.424
124,842,852520.0,3559.691,1977138.511,22917433.316,586963.775,16115.327,1147.715,23282.134,1579933.626,3559.691,3138.882,62.424
124,842,854211.0,1147.715,1977138.511,22917433.316,586963.775,16115.327,1147.715,23282.134,1579933.626,3559.691,3138.882,62.424
124,842,870323.0,586963.775,1977138.511,22917433.316,586963.775,16115.327,1147.715,23282.134,1579933.626,3559.691,3138.882,62.424
124,842,870324.0,1579933.626,1977138.511,22917433.316,586963.775,16115.327,1147.715,23282.134,1579933.626,3559.691,3138.882,62.424
124,842,870332.0,62.424,1977138.511,22917433.316,586963.775,16115.327,1147.715,23282.134,1579933.626,3559.691,3138.882,62.424
124,842,880240.0,3138.882,1977138.511,22917433.316,586963.775,16115.327,1147.715,23282.134,1579933.626,3559.691,3138.882,62.424
842,124,270900.0,351347.889,351347.889,2944470.338,564388.919,21253.624,1965.045,38881.030,322072.800,3181.707,1865.033,150.347
842,124,271000.0,2944470.338,351347.889,2944470.338,564388.919,21253.624,1965.045,38881.030,322072.800,3181.707,1865.033,150.347
842,124,300490.0,38881.030,351347.889,2944470.338,564388.919,21253.624,1965.045,38881.030,322072.800,3181.707,1865.033,150.347
842,124,847330.0,21253.624,351347.889,2944470.338,564388.919,21253.624,1965.045,38881.030,322072.800,3181.707,1865.033,150.347
842,124,852520.0,3181.707,351347.889,2944470.338,564388.919,21253.624,1965.045,38881.030,322072.800,3181.707,1865.033,150.347
842,124,854211.0,1965.045,351347.889,2944470.338,564388.919,21253.624,1965.045,38881.030,322072.800,3181.707,1865.033,150.347
842,124,870323.0,564388.919,351347.889,2944470.338,564388.919,21253.624,1965.045,38881.030,322072.800,3181.707,1865.033,150.347
842,124,870324.0,322072.800,351347.889,2944470.338,564388.919,21253.624,1965.045,38881.030,322072.800,3181.707,1865.033,150.347
842,124,870332.0,150.347,351347.889,2944470.338,564388.919,21253.624,1965.045,38881.030,322072.800,3181.707,1865.033,150.347
842,124,880240.0,1865.033,351347.889,2944470.338,564388.919,21253.624,1965.045,38881.030,322072.800,3181.707,1865.033,150.347
484,842,270900.0,65058539.012,65058539.012,5058465.759,700321.528,20424.030,703.824,9725.620,668237.630,19355.936,285.804,24648.696
484,842,271000.0,5058465.759,65058539.012,5058465.759,700321.528,20424.030,703.824,9725.620,668237.630,19355.936,285.804,24648.696
484,842,300490.0,9725.620,65058539.012,5058465.759,700321.528,20424.030,703.824,9725.620,668237.630,19355.936,285.804,24648.696
484,842,847330.0,20424.030,65058539.012,5058465.759,700321.528,20424.030,703.824,9725.620,668237.630,19355.936,285.804,24648.696
484,842,852520.0,19355.936,65058539.012,5058465.759,700321.528,20424.030,703.824,9725.620,668237.630,19355.936,285.804,24648.696
484,842,854211.0,703.824,65058539.012,5058465.759,700321.528,20424.030,703.824,9725.620,668237.630,19355.936,285.804,24648.696
484,842,870323.0,700321.528,65058539.012,5058465.759,700321.528,20424.030,703.824,9725.620,668237.630,19355.936,285.804,24648.696
484,842,870324.0,668237.630,65058539.012,5058465.759,700321.528,20424.030,703.824,9725.620,668237.630,19355.936,285.804,24648.696
484,842,870332.0,24648.696,65058539.012,5058465.759,700321.528,20424.030,703.824,9725.620,668237.630,19355.936,285.804,24648.696
