population,exports,imports,iso_code
35643418,34.8530624421868,41.8544509495606,4
2873457,31.5698080476189,46.624465948041,8
41136546,22.6322322911166,32.6891707303428,12
49463,59.1503267973856,102.287581699346,16
73837,34.8530624421868,41.8544509495606,20
30208628,29.0041020030504,23.2527251600707,24
91119,67.7413019674332,66.1295659940356,28
44044811,11.3202833596733,13.9693177780045,32
2851923,38.2160456550464,48.9863308847905,51
105439,72.5564588979223,71.2556458897922,533
24594202,21.231183492644,20.7201613801918,36
8797566,54.0511531414978,50.8876917912507,40
9854033,48.547864732761,41.8544509495606,31
399020,32.0693338512333,39.6881271444293,44
1456834,75.7796814248463,67.3069858316077,48
161793964,12.8197468906003,17.179983781834,50
279187,35.7530937568935,40.6933689369671,52
9458989,66.7896002012327,66.5781545217791,112
11375158,83.1824102499921,82.1434260996683,56
374693,49.3657042869641,47.4846894138233,84
11596779,27.2055947818832,34.2710021769642,204
63873,48.5381492501872,23.8542792001922,60
756121,30.0831893767679,51.1235499915732,64
11435533,24.9041443556458,31.8005083782674,68
3440027,40.8725315248207,57.0870325938479,70
2401840,42.9200424885539,39.0039088877955,72
208504960,12.5189678700669,11.8007665046081,76
30060,34.8530624421868,41.8544509495606,92
430276,49.5732416988601,35.6035073472775,96
7075947,66.9945956439964,62.682001370811,100
19835858,26.4523856350501,32.8163945669667,854
11155593,6.02657432870477,16.2137187724929,108
564954,45.9228129647968,67.3803535416683,132
15830689,60.6819578072322,64.1058157410442,116
24393181,18.3510985830022,20.8479230222608,120
36545236,31.4544101509781,33.6466506994867,124
63581,74.021817064189,43.4147666231567,136
4996741,17.2597737600181,39.8837719516938,140
15085884,33.8729624845644,39.7020456976579,148
18368577,28.331376834172,27.6947821334198,152
1396215000,19.6922769882613,17.9401362522382,156
48351671,15.1452897484005,20.1376251940582,170
761664,11.9013164484663,28.2630424728857,174
84283273,35.250522178686,39.0408574385095,180
5312340,58.0645475862676,55.1617696499446,178
4993842,32.7626831479863,32.3092705958953,188
24848016,24.9201218761069,23.6206564444479,384
4124531,49.1107914691607,48.5239962501149,191
11336405,14.5512178500996,11.6715366903801,192
160175,58.6467421570447,80.8204937813254,531
1208523,73.8364840623299,74.1768764188964,196
10594438,79.0271394981121,71.5055129948816,203
5764980,55.0773767829077,47.9020131257278,208
1040233,150.098361470494,155.869604932974,262
70403,40.8758761246707,61.7523203544976,212
10647244,23.6821453426385,26.5429400821881,214
16696944,20.8328178926217,21.5889034983957,218
101789386,15.8184438040346,29.3083573487032,818
6266654,29.0297643758665,45.2748868157855,222
1450694,58.8631052137026,43.5651530381,226
3396933,34.8530624421868,41.8544509495606,232
1317384,75.8098540993405,71.7538682971034,233
108197950,7.62936862241418,23.4742626798764,231
919019,46.0155650680851,51.006097519691,242
5508214,37.5495468424797,37.5035903509043,246
295450,19.556958430367,35.0207320734508,258
2140215,50.2267539725926,24.8419864730712,266
2381182,16.7894553936941,36.5295998849377,270
3728004,46.5276142251531,57.5124627100016,268
82657002,47.1630406836519,40.0741622693716,276
30222262,33.8768744319153,36.6714901336787,288
32602,34.8530624421868,41.8544509495606,292
10754679,35.0340942348023,36.5448563051391,300
56171,40.692233747059,43.5150221202513,304
