i,j,k,q,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9
156,842,270900.0,237336.102,237336.102,2555868.144,755.346,0.204,96477.102,3893.629,45550.926,149.374,12.850,146066.056
156,842,271000.0,2555868.144,237336.102,2555868.144,755.346,0.204,96477.102,3893.629,45550.926,149.374,12.850,146066.056
156,842,300490.0,3893.629,237336.102,2555868.144,755.346,0.204,96477.102,3893.629,45550.926,149.374,12.850,146066.056
156,842,710812.0,0.204,237336.102,2555868.144,755.346,0.204,96477.102,3893.629,45550.926,149.374,12.850,146066.056
156,842,847120.0,146066.056,237336.102,2555868.144,755.346,0.204,96477.102,3893.629,45550.926,149.374,12.850,146066.056
156,842,852520.0,45550.926,237336.102,2555868.144,755.346,0.204,96477.102,3893.629,45550.926,149.374,12.850,146066.056
156,842,854219.0,755.346,237336.102,2555868.144,755.346,0.204,96477.102,3893.629,45550.926,149.374,12.850,146066.056
156,842,870323.0,96477.102,237336.102,2555868.144,755.346,0.204,96477.102,3893.629,45550.926,149.374,12.850,146066.056
156,842,870332.0,12.850,237336.102,2555868.144,755.346,0.204,96477.102,3893.629,45550.926,149.374,12.850,146066.056
156,842,880240.0,149.374,237336.102,2555868.144,755.346,0.204,96477.102,3893.629,45550.926,149.374,12.850,146066.056
484,842,270900.0,25766509.804,25766509.804,1738100.643,1.639,52.496,1365146.801,3697.047,1133.110,0,25978.394,7703.506
484,842,271000.0,1738100.643,25766509.804,1738100.643,1.639,52.496,1365146.801,3697.047,1133.110,0,25978.394,7703.506
484,842,300490.0,3697.047,25766509.804,1738100.643,1.639,52.496,1365146.801,3697.047,1133.110,0,25978.394,7703.506
484,842,710812.0,52.496,25766509.804,1738100.643,1.639,52.496,1365146.801,3697.047,1133.110,0,25978.394,7703.506
484,842,847120.0,7703.506,25766509.804,1738100.643,1.639,52.496,1365146.801,3697.047,1133.110,0,25978.394,7703.506
484,842,852520.0,1133.110,25766509.804,1738100.643,1.639,52.496,1365146.801,3697.047,1133.110,0,25978.394,7703.506
484,842,854219.0,1.639,25766509.804,1738100.643,1.639,52.496,1365146.801,3697.047,1133.110,0,25978.394,7703.506
484,842,870323.0,1365146.801,25766509.804,1738100.643,1.639,52.496,1365146.801,3697.047,1133.110,0,25978.394,7703.506
484,842,870332.0,25978.394,25766509.804,1738100.643,1.639,52.496,1365146.801,3697.047,1133.110,0,25978.394,7703.506
124,842,270900.0,131660001.604,131660001.604,22110084.126,0,76.507,1760267.817,686.383,35.802,1982.756,42782.443,8.006
124,842,271000.0,22110084.126,131660001.604,22110084.126,0,76.507,1760267.817,686.383,35.802,1982.756,42782.443,8.006
124,842,300490.0,686.383,131660001.604,22110084.126,0,76.507,1760267.817,686.383,35.802,1982.756,42782.443,8.006
124,842,710812.0,76.507,131660001.604,22110084.126,0,76.507,1760267.817,686.383,35.802,1982.756,42782.443,8.006
124,842,847120.0,8.006,131660001.604,22110084.126,0,76.507,1760267.817,686.383,35.802,1982.756,42782.443,8.006
124,842,852520.0,35.802,131660001.604,22110084.126,0,76.507,1760267.817,686.383,35.802,1982.756,42782.443,8.006
124,842,854219.0,0,131660001.604,22110084.126,0,76.507,1760267.817,686.383,35.802,1982.756,42782.443,8.006
124,842,870323.0,1760267.817,131660001.604,22110084.126,0,76.507,1760267.817,686.383,35.802,1982.756,42782.443,8.006
124,842,870332.0,42782.443,131660001.604,22110084.126,0,76.507,1760267.817,686.383,35.802,1982.756,42782.443,8.006
124,842,880240.0,1982.756,131660001.604,22110084.126,0,76.507,1760267.817,686.383,35.802,1982.756,42782.443,8.006
156,344,271000.0,9928102.801,0,9928102.801,15552.119,33.053,5189.351,2885.641,50029.013,5.053,8.027,56242.393
156,344,300490.0,2885.641,0,9928102.801,15552.119,33.053,5189.351,2885.641,50029.013,5.053,8.027,56242.393
156,344,710812.0,33.053,0,9928102.801,15552.119,33.053,5189.351,2885.641,50029.013,5.053,8.027,56242.393
156,344,847120.0,56242.393,0,9928102.801,15552.119,33.053,5189.351,2885.641,50029.013,5.053,8.027,56242.393
156,344,852520.0,50029.013,0,9928102.801,15552.119,33.053,5189.351,2885.641,50029.013,5.053,8.027,56242.393
156,344,854219.0,15552.119,0,9928102.801,15552.119,33.053,5189.351,2885.641,50029.013,5.053,8.027,56242.393
156,344,870323.0,5189.351,0,9928102.801,15552.119,33.053,5189.351,2885.641,50029.013,5.053,8.027,56242.393
156,344,870332.0,8.027,0,9928102.801,15552.119,33.053,5189.351,2885.641,50029.013,5.053,8.027,56242.393
156,344,880240.0,5.053,0,9928102.801,15552.119,33.053,5189.351,2885.641,50029.013,5.053,8.027,56242.393
842,124,270900.0,15783472.914,15783472.914,24689685.439,0,20.370,444327.000,10266.657,450.335,1181.070,1385.641,1040.995
842,124,271000.0,24689685.439,15783472.914,24689685.439,0,20.370,444327.000,10266.657,450.335,1181.070,1385.641,1040.995
842,124,300490.0,10266.657,15783472.914,24689685.439,0,20.370,444327.000,10266.657,450.335,1181.070,1385.641,1040.995
842,124,710812.0,20.370,15783472.914,24689685.439,0,20.370,444327.000,10266.657,450.335,1181.070,1385.641,1040.995
842,124,847120.0,1040.995,15783472.914,24689685.439,0,20.370,444327.000,10266.657,450.335,1181.070,1385.641,1040.995
842,124,852520.0,450.335,15783472.914,24689685.439,0,20.370,444327.000,10266.657,450.335,1181.070,1385.641,1040.995
842,124,854219.0,0,15783472.914,24689685.439,0,20.370,444327.000,10266.657,450.335,1181.070,1385.641,1040.995
842,124,870323.0,444327.000,15783472.914,24689685.439,0,20.370,444327.000,10266.657,450.335,1181.070,1385.641,1040.995
842,124,870332.0,1385.641,15783472.914,24689685.439,0,20.370,444327.000,10266.657,450.335,1181.070,1385.641,1040.995
842,124,880240.0,1181.070,15783472.914,24689685.439,0,20.370,444327.000,10266.657,450.335,1181.070,1385.641,1040.995
842,484,270900.0,0,0,41412728.886,0,2.107,0,7073.557,0,0,0,0
842,484,271000.0,41412728.886,0,41412728.886,0,2.107,0,7073.557,0,0,0,0
842,484,300490.0,7073.557,0,41412728.886,0,2.107,0,7073.557,0,0,0,0
842,484,710812.0,2.107,0,41412728.886,0,2.107,0,7073.557,0,0,0,0
842,484,847120.0,0,0,41412728.886,0,2.107,0,7073.557,0,0,0,0
842,484,852520.0,0,0,41412728.886,0,2.107,0,7073.557,0,0,0,0
842,484,854219.0,0,0,41412728.886,0,2.107,0,7073.557,0,0,0,0
842,484,870323.0,0,0,41412728.886,0,2.107,0,7073.557,0,0,0,0
842,484,870332.0,0,0,41412728.886,0,2.107,0,7073.557,0,0,0,0
156,392,270900.0,1284637.413,1284637.413,307734.800,883.946,0.014,1525.624,1244.493,16794.164,0,21.749,24396.118
156,392,271000.0,307734.800,1284637.413,307734.800,883.946,0.014,1525.624,1244.493,16794.164,0,21.749,24396.118
156,392,300490.0,1244.493,1284637.413,307734.800,883.946,0.014,1525.624,1244.493,16794.164,0,21.749,24396.118
156,392,710812.0,0.014,1284637.413,307734.800,883.946,0.014,1525.624,1244.493,16794.164,0,21.749,24396.118
156,392,847120.0,24396.118,1284637.413,307734.800,883.946,0.014,1525.624,1244.493,16794.164,0,21.749,24396.118
156,392,852520.0,16794.164,1284637.413,307734.800,883.946,0.014,1525.624,1244.493,16794.164,0,21.749,24396.118
156,392,854219.0,883.946,1284637.413,307734.800,883.946,0.014,1525.624,1244.493,16794.164,0,21.749,24396.118
156,392,870323.0,1525.624,1284637.413,307734.800,883.946,0.014,1525.624,1244.493,16794.164,0,21.749,24396.118
156,392,870332.0,21.749,1284637.413,307734.800,883.946,0.014,1525.624,1244.493,16794.164,0,21.749,24396.118
392,842,271000.0,754543.211,0,754543.211,39.007,5.450,2537053.378,777.910,54.848,0,80.037,798.577
392,842,300490.0,777.910,0,754543.211,39.007,5.450,2537053.378,777.910,54.848,0,80.037,798.577
392,842,710812.0,5.450,0,754543.211,39.007,5.450,2537053.378,777.910,54.848,0,80.037,798.577
392,842,847120.0,798.577,0,754543.211,39.007,5.450,2537053.378,777.910,54.848,0,80.037,798.577
392,842,852520.0,54.848,0,754543.211,39.007,5.450,2537053.378,777.910,54.848,0,80.037,798.577
392,842,854219.0,39.007,0,754543.211,39.007,5.450,2537053.378,777.910,54.848,0,80.037,798.577
392,842,870323.0,2537053.378,0,754543.211,39.007,5.450,2537053.378,777.910,54.848,0,80.037,798.577
392,842,870332.0,80.037,0,754543.211,39.007,5.450,2537053.378,777.910,54.848,0,80.037,798.577
410,156,270900.0,0.580,0.580,8792867.742,2641.460,0.067,3623.395,1195.911,92.040,0,2806.150,195.266
410,156,271000.0,8792867.742,0.580,8792867.742,2641.460,0.067,3623.395,1195.911,92.040,0,2806.150,195.266
410,156,300490.0,1195.911,0.580,8792867.742,2641.460,0.067,3623.395,1195.911,92.040,0,2806.150,195.266
410,156,710812.0,0.067,0.580,8792867.742,2641.460,0.067,3623.395,1195.911,92.040,0,2806.150,195.266
410,156,847120.0,195.266,0.580,8792867.742,2641.460,0.067,3623.395,1195.911,92.040,0,2806.150,195.266
410,156,852520.0,92.040,0.580,8792867.742,2641.460,0.067,3623.395,1195.911,92.040,0,2806.150,195.266
410,156,854219.0,2641.460,0.580,8792867.742,2641.460,0.067,3623.395,1195.911,92.040,0,2806.150,195.266
410,156,870323.0,3623.395,0.580,8792867.742,2641.460,0.067,3623.395,1195.911,92.040,0,2806.150,195.266
410,156,870332.0,2806.150,0.580,8792867.742,2641.460,0.067,3623.395,1195.911,92.040,0,2806.150,195.266
276,842,271000.0,34464.301,0,34464.301,184.708,1.012,903626.789,14501.977,133.888,2944.502,11639.047,231.380
276,842,300490.0,14501.977,0,34464.301,184.708,1.012,903626.789,14501.977,133.888,2944.502,11639.047,231.380
276,842,710812.0,1.012,0,34464.301,184.708,1.012,903626.789,14501.977,133.888,2944.502,11639.047,231.380
276,842,847120.0,231.380,0,34464.301,184.708,1.012,903626.789,14501.977,133.888,2944.502,11639.047,231.380
276,842,852520.0,133.888,0,34464.301,184.708,1.012,903626.789,14501.977,133.888,2944.502,11639.047,231.380
276,842,854219.0,184.708,0,34464.301,184.708,1.012,903626.789,14501.977,133.888,2944.502,11639.047,231.380
276,842,870323.0,903626.789,0,34464.301,184.708,1.012,903626.789,14501.977,133.888,2944.502,11639.047,231.380
276,842,870332.0,11639.047,0,34464.301,184.708,1.012,903626.789,14501.977,133.888,2944.502,11639.047,231.380
276,842,880240.0,2944.502,0,34464.301,184.708,1.012,903626.789,14501.977,133.888,2944.502,11639.047,231.380
842,156,270900.0,1245671.329,1245671.329,1427617.782,24.979,3.720,817380.368,1206.044,0,15413.356,3043.299,12.521
842,156,271000.0,1427617.782,1245671.329,1427617.782,24.979,3.720,817380.368,1206.044,0,15413.356,3043.299,12.521
842,156,300490.0,1206.044,1245671.329,1427617.782,24.979,3.720,817380.368,1206.044,0,15413.356,3043.299,12.521
842,156,710812.0,3.720,1245671.329,1427617.782,24.979,3.720,817380.368,1206.044,0,15413.356,3043.299,12.521
842,156,847120.0,12.521,1245671.329,1427617.782,24.979,3.720,817380.368,1206.044,0,15413.356,3043.299,12.521
842,156,852520.0,0,1245671.329,1427617.782,24.979,3.720,817380.368,1206.044,0,15413.356,3043.299,12.521
842,156,854219.0,24.979,1245671.329,1427617.782,24.979,3.720,817380.368,1206.044,0,15413.356,3043.299,12.521
842,156,870323.0,817380.368,1245671.329,1427617.782,24.979,3.720,817380.368,1206.044,0,15413.356,3043.299,12.521
842,156,870332.0,3043.299,1245671.329,1427617.782,24.979,3.720,817380.368,1206.044,0,15413.356,3043.299,12.521
842,156,880240.0,15413.356,1245671.329,1427617.782,24.979,3.720,817380.368,1206.044,0,15413.356,3043.299,12.521
392,156,271000.0,2239003.432,0,2239003.432,166.559,1.295,345941.918,1757.219,0.939,0,0.410,113.331
392,156,300490.0,1757.219,0,2239003.432,166.559,1.295,345941.918,1757.219,0.939,0,0.410,113.331
392,156,710812.0,1.295,0,2239003.432,166.559,1.295,345941.918,1757.219,0.939,0,0.410,113.331
392,156,847120.0,113.331,0,2239003.432,166.559,1.295,345941.918,1757.219,0.939,0,0.410,113.331
392,156,852520.0,0.939,0,2239003.432,166.559,1.295,345941.918,1757.219,0.939,0,0.410,113.331
392,156,854219.0,166.559,0,2239003.432,166.559,1.295,345941.918,1757.219,0.939,0,0.410,113.331
392,156,870323.0,345941.918,0,2239003.432,166.559,1.295,345941.918,1757.219,0.939,0,0.410,113.331
392,156,870332.0,0.410,0,2239003.432,166.559,1.295,345941.918,1757.219,0.939,0,0.410,113.331
528,276,270900.0,1997733.511,1997733.511,17865883.139,1421.304,26.837,23043.928,9220.578,868.604,0.522,7586.468,5811.103
528,276,271000.0,17865883.139,1997733.511,17865883.139,1421.304,26.837,23043.928,9220.578,868.604,0.522,7586.468,5811.103
528,276,300490.0,9220.578,1997733.511,17865883.139,1421.304,26.837,23043.928,9220.578,868.604,0.522,7586.468,5811.103
528,276,710812.0,26.837,1997733.511,17865883.139,1421.304,26.837,23043.928,9220.578,868.604,0.522,7586.468,5811.103
528,276,847120.0,5811.103,1997733.511,17865883.139,1421.304,26.837,23043.928,9220.578,868.604,0.522,7586.468,5811.103
528,276,852520.0,868.604,1997733.511,17865883.139,1421.304,26.837,23043.928,9220.578,868.604,0.522,7586.468,5811.103
528,276,854219.0,1421.304,1997733.511,17865883.139,1421.304,26.837,23043.928,9220.578,868.604,0.522,7586.468,5811.103
528,276,870323.0,23043.928,1997733.511,17865883.139,1421.304,26.837,23043.928,9220.578,868.604,0.522,7586.468,5811.103
528,276,870332.0,7586.468,1997733.511,17865883.139,1421.304,26.837,23043.928,9220.578,868.604,0.522,7586.468,5811.103
528,276,880240.0,0.522,1997733.511,17865883.139,1421.304,26.837,23043.928,9220.578,868.604,0.522,7586.468,5811.103
276,826,271000.0,452670.755,0,452670.755,1016.897,17.332,179261.807,20963.743,348.481,917.211,626549.117,4255.312
276,826,300490.0,20963.743,0,452670.755,1016.897,17.332,179261.807,20963.743,348.481,917.211,626549.117,4255.312
276,826,710812.0,17.332,0,452670.755,1016.897,17.332,179261.807,20963.743,348.481,917.211,626549.117,4255.312
276,826,847120.0,4255.312,0,452670.755,1016.897,17.332,179261.807,20963.743,348.481,917.211,626549.117,4255.312
276,826,852520.0,348.481,0,452670.755,1016.897,17.332,179261.807,20963.743,348.481,917.211,626549.117,4255.312
276,826,854219.0,1016.897,0,452670.755,1016.897,17.332,179261.807,20963.743,348.481,917.211,626549.117,4255.312
276,826,870323.0,179261.807,0,452670.755,1016.897,17.332,179261.807,20963.743,348.481,917.211,626549.117,4255.312
276,826,870332.0,626549.117,0,452670.755,1016.897,17.332,179261.807,20963.743,348.481,917.211,626549.117,4255.312
276,826,880240.0,917.211,0,452670.755,1016.897,17.332,179261.807,20963.743,348.481,917.211,626549.117,4255.312
156,410,270900.0,687747.127,687747.127,1693337.255,1817.614,0.008,461.982,3743.516,8509.517,0,7.576,7489.027
156,410,271000.0,1693337.255,687747.127,1693337.255,1817.614,0.008,461.982,3743.516,8509.517,0,7.576,7489.027
156,410,300490.0,3743.516,687747.127,1693337.255,1817.614,0.008,461.982,3743.516,8509.517,0,7.576,7489.027
156,410,710812.0,0.008,687747.127,1693337.255,1817.614,0.008,461.982,3743.516,8509.517,0,7.576,7489.027
156,410,847120.0,7489.027,687747.127,1693337.255,1817.614,0.008,461.982,3743.516,8509.517,0,7.576,7489.027
156,410,852520.0,8509.517,687747.127,1693337.255,1817.614,0.008,461.982,3743.516,8509.517,0,7.576,7489.027
156,410,854219.0,1817.614,687747.127,1693337.255,1817.614,0.008,461.982,3743.516,8509.517,0,7.576,7489.027
156,410,870323.0,461.982,687747.127,1693337.255,1817.614,0.008,461.982,3743.516,8509.517,0,7.576,7489.027
156,410,870332.0,7.576,687747.127,1693337.255,1817.614,0.008,461.982,3743.516,8509.517,0,7.576,7489.027
276,156,271000.0,61292.992,0,61292.992,390.251,0.028,893439.160,10703.111,122.976,2772.775,8122.070,144.917
276,156,300490.0,10703.111,0,61292.992,390.251,0.028,893439.160,10703.111,122.976,2772.775,8122.070,144.917
276,156,710812.0,0.028,0,61292.992,390.251,0.028,893439.160,10703.111,122.976,2772.775,8122.070,144.917
276,156,847120.0,144.917,0,61292.992,390.251,0.028,893439.160,10703.111,122.976,2772.775,8122.070,144.917
276,156,852520.0,122.976,0,61292.992,390.251,0.028,893439.160,10703.111,122.976,2772.775,8122.070,144.917
276,156,854219.0,390.251,0,61292.992,390.251,0.028,893439.160,10703.111,122.976,2772.775,8122.070,144.917
276,156,870323.0,893439.160,0,61292.992,390.251,0.028,893439.160,10703.111,122.976,2772.775,8122.070,144.917
276,156,870332.0,8122.070,0,61292.992,390.251,0.028,893439.160,10703.111,122.976,2772.775,8122.070,144.917
276,156,880240.0,2772.775,0,61292.992,390.251,0.028,893439.160,10703.111,122.976,2772.775,8122.070,144.917
156,276,271000.0,356115.659,0,356115.659,481.133,0.001,1304.883,314.728,5254.393,74.000,11.655,26553.414
156,276,300490.0,314.728,0,356115.659,481.133,0.001,1304.883,314.728,5254.393,74.000,11.655,26553.414
156,276,710812.0,0.001,0,356115.659,481.133,0.001,1304.883,314.728,5254.393,74.000,11.655,26553.414
156,276,847120.0,26553.414,0,356115.659,481.133,0.001,1304.883,314.728,5254.393,74.000,11.655,26553.414
156,276,852520.0,5254.393,0,356115.659,481.133,0.001,1304.883,314.728,5254.393,74.000,11.655,26553.414
156,276,854219.0,481.133,0,356115.659,481.133,0.001,1304.883,314.728,5254.393,74.000,11.655,26553.414
156,276,870323.0,1304.883,0,356115.659,481.133,0.001,1304.883,314.728,5254.393,74.000,11.655,26553.414
156,276,870332.0,11.655,0,356115.659,481.133,0.001,1304.883,314.728,5254.393,74.000,11.655,26553.414
156,276,880240.0,74.000,0,356115.659,481.133,0.001,1304.883,314.728,5254.393,74.000,11.655,26553.414
276,528,270900.0,78382.546,78382.546,3456920.834,868.534,28.870,50074.141,28144.538,581.630,610.400,53230.961,1915.514
276,528,271000.0,3456920.834,78382.546,3456920.834,868.534,28.870,50074.141,28144.538,581.630,610.400,53230.961,1915.514
276,528,300490.0,28144.538,78382.546,3456920.834,868.534,28.870,50074.141,28144.538,581.630,610.400,53230.961,1915.514
276,528,710812.0,28.870,78382.546,3456920.834,868.534,28.870,50074.141,28144.538,581.630,610.400,53230.961,1915.514
276,528,847120.0,1915.514,78382.546,3456920.834,868.534,28.870,50074.141,28144.538,581.630,610.400,53230.961,1915.514
276,528,852520.0,581.630,78382.546,3456920.834,868.534,28.870,50074.141,28144.538,581.630,610.400,53230.961,1915.514
276,528,854219.0,868.534,78382.546,3456920.834,868.534,28.870,50074.141,28144.538,581.630,610.400,53230.961,1915.514
276,528,870323.0,50074.141,78382.546,3456920.834,868.534,28.870,50074.141,28144.538,581.630,610.400,53230.961,1915.514
