i,j,k,q,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19
156,842,270900.0,195599.311,195599.311,1721372.155,2615.530,89612.187,106707.712,0,5827.201,374354.654,0,187.618,181.405,148047.677,3447.934,0,39710.931,0,251.971,18.364,293663.458,0
156,842,271000.0,1721372.155,195599.311,1721372.155,2615.530,89612.187,106707.712,0,5827.201,374354.654,0,187.618,181.405,148047.677,3447.934,0,39710.931,0,251.971,18.364,293663.458,0
156,842,300210.0,3447.934,195599.311,1721372.155,2615.530,89612.187,106707.712,0,5827.201,374354.654,0,187.618,181.405,148047.677,3447.934,0,39710.931,0,251.971,18.364,293663.458,0
156,842,300490.0,5827.201,195599.311,1721372.155,2615.530,89612.187,106707.712,0,5827.201,374354.654,0,187.618,181.405,148047.677,3447.934,0,39710.931,0,251.971,18.364,293663.458,0
156,842,847193.0,148047.677,195599.311,1721372.155,2615.530,89612.187,106707.712,0,5827.201,374354.654,0,187.618,181.405,148047.677,3447.934,0,39710.931,0,251.971,18.364,293663.458,0
156,842,847330.0,374354.654,195599.311,1721372.155,2615.530,89612.187,106707.712,0,5827.201,374354.654,0,187.618,181.405,148047.677,3447.934,0,39710.931,0,251.971,18.364,293663.458,0
156,842,851790.0,39710.931,195599.311,1721372.155,2615.530,89612.187,106707.712,0,5827.201,374354.654,0,187.618,181.405,148047.677,3447.934,0,39710.931,0,251.971,18.364,293663.458,0
156,842,852520.0,89612.187,195599.311,1721372.155,2615.530,89612.187,106707.712,0,5827.201,374354.654,0,187.618,181.405,148047.677,3447.934,0,39710.931,0,251.971,18.364,293663.458,0
156,842,854211.0,2615.530,195599.311,1721372.155,2615.530,89612.187,106707.712,0,5827.201,374354.654,0,187.618,181.405,148047.677,3447.934,0,39710.931,0,251.971,18.364,293663.458,0
156,842,870322.0,251.971,195599.311,1721372.155,2615.530,89612.187,106707.712,0,5827.201,374354.654,0,187.618,181.405,148047.677,3447.934,0,39710.931,0,251.971,18.364,293663.458,0
156,842,870323.0,106707.712,195599.311,1721372.155,2615.530,89612.187,106707.712,0,5827.201,374354.654,0,187.618,181.405,148047.677,3447.934,0,39710.931,0,251.971,18.364,293663.458,0
156,842,870324.0,18.364,195599.311,1721372.155,2615.530,89612.187,106707.712,0,5827.201,374354.654,0,187.618,181.405,148047.677,3447.934,0,39710.931,0,251.971,18.364,293663.458,0
156,842,870332.0,181.405,195599.311,1721372.155,2615.530,89612.187,106707.712,0,5827.201,374354.654,0,187.618,181.405,148047.677,3447.934,0,39710.931,0,251.971,18.364,293663.458,0
156,842,870899.0,293663.458,195599.311,1721372.155,2615.530,89612.187,106707.712,0,5827.201,374354.654,0,187.618,181.405,148047.677,3447.934,0,39710.931,0,251.971,18.364,293663.458,0
156,842,880240.0,187.618,195599.311,1721372.155,2615.530,89612.187,106707.712,0,5827.201,374354.654,0,187.618,181.405,148047.677,3447.934,0,39710.931,0,251.971,18.364,293663.458,0
484,842,270900.0,28066799.360,28066799.360,1598015.625,432.597,2510.064,1668721.766,49.378,9159.029,4270.403,2.921,0,17149.764,72.189,350.934,0,10574.074,40733.427,550333.698,25816.474,412145.594,0
484,842,271000.0,1598015.625,28066799.360,1598015.625,432.597,2510.064,1668721.766,49.378,9159.029,4270.403,2.921,0,17149.764,72.189,350.934,0,10574.074,40733.427,550333.698,25816.474,412145.594,0
484,842,271121.0,40733.427,28066799.360,1598015.625,432.597,2510.064,1668721.766,49.378,9159.029,4270.403,2.921,0,17149.764,72.189,350.934,0,10574.074,40733.427,550333.698,25816.474,412145.594,0
484,842,300210.0,350.934,28066799.360,1598015.625,432.597,2510.064,1668721.766,49.378,9159.029,4270.403,2.921,0,17149.764,72.189,350.934,0,10574.074,40733.427,550333.698,25816.474,412145.594,0
484,842,300490.0,9159.029,28066799.360,1598015.625,432.597,2510.064,1668721.766,49.378,9159.029,4270.403,2.921,0,17149.764,72.189,350.934,0,10574.074,40733.427,550333.698,25816.474,412145.594,0
484,842,710812.0,49.378,28066799.360,1598015.625,432.597,2510.064,1668721.766,49.378,9159.029,4270.403,2.921,0,17149.764,72.189,350.934,0,10574.074,40733.427,550333.698,25816.474,412145.594,0
484,842,847193.0,72.189,28066799.360,1598015.625,432.597,2510.064,1668721.766,49.378,9159.029,4270.403,2.921,0,17149.764,72.189,350.934,0,10574.074,40733.427,550333.698,25816.474,412145.594,0
484,842,847330.0,4270.403,28066799.360,1598015.625,432.597,2510.064,1668721.766,49.378,9159.029,4270.403,2.921,0,17149.764,72.189,350.934,0,10574.074,40733.427,550333.698,25816.474,412145.594,0
484,842,851790.0,10574.074,28066799.360,1598015.625,432.597,2510.064,1668721.766,49.378,9159.029,4270.403,2.921,0,17149.764,72.189,350.934,0,10574.074,40733.427,550333.698,25816.474,412145.594,0
484,842,852520.0,2510.064,28066799.360,1598015.625,432.597,2510.064,1668721.766,49.378,9159.029,4270.403,2.921,0,17149.764,72.189,350.934,0,10574.074,40733.427,550333.698,25816.474,412145.594,0
484,842,854211.0,432.597,28066799.360,1598015.625,432.597,2510.064,1668721.766,49.378,9159.029,4270.403,2.921,0,17149.764,72.189,350.934,0,10574.074,40733.427,550333.698,25816.474,412145.594,0
484,842,854219.0,2.921,28066799.360,1598015.625,432.597,2510.064,1668721.766,49.378,9159.029,4270.403,2.921,0,17149.764,72.189,350.934,0,10574.074,40733.427,550333.698,25816.474,412145.594,0
484,842,870322.0,550333.698,28066799.360,1598015.625,432.597,2510.064,1668721.766,49.378,9159.029,4270.403,2.921,0,17149.764,72.189,350.934,0,10574.074,40733.427,550333.698,25816.474,412145.594,0
484,842,870323.0,1668721.766,28066799.360,1598015.625,432.597,2510.064,1668721.766,49.378,9159.029,4270.403,2.921,0,17149.764,72.189,350.934,0,10574.074,40733.427,550333.698,25816.474,412145.594,0
484,842,870324.0,25816.474,28066799.360,1598015.625,432.597,2510.064,1668721.766,49.378,9159.029,4270.403,2.921,0,17149.764,72.189,350.934,0,10574.074,40733.427,550333.698,25816.474,412145.594,0
484,842,870332.0,17149.764,28066799.360,1598015.625,432.597,2510.064,1668721.766,49.378,9159.029,4270.403,2.921,0,17149.764,72.189,350.934,0,10574.074,40733.427,550333.698,25816.474,412145.594,0
484,842,870899.0,412145.594,28066799.360,1598015.625,432.597,2510.064,1668721.766,49.378,9159.029,4270.403,2.921,0,17149.764,72.189,350.934,0,10574.074,40733.427,550333.698,25816.474,412145.594,0
124,842,270112.0,721890.787,142356717.633,12101317.400,70.617,3966.849,1197576.755,60.593,30158.064,7173.835,0,1020.098,36615.906,1602.078,479.180,0,17.360,26355092.940,528232.076,556128.078,190375.975,721890.787
