population,iso_code
33753499,4
2880703,8
39543154,12
51368,16
71746,20
28127721,24
89941,28
43131966,32
2878595,51
104257,533
23815995,36
8642699,40
9649341,31
392697,44
1362142,48
157830000,50
278083,52
9461076,112
11274196,56
359871,84
10932783,204
65237,60
743274,64
11090085,68
3524324,70
2305171,72
205188205,76
29366,92
421437,96
7177991,100
18718019,854
10727148,108
552166,132
15417523,116
23012646,120
35702908,124
60911,136
4819333,140
14140274,148
17870124,152
1379860000,156
47119728,170
730216,174
78656904,180
5064386,178
4895242,188
23596741,384
4203604,191
11339894,192
157980,531
1187280,196
10546059,203
5683483,208
1006259,262
70007,212
10405832,214
16195902,218
97723799,818
6231066,222
1346973,226
3340006,232
1315407,233
102471895,231
917200,242
5479531,246
291787,258
2028517,266
2253133,270
3725276,268
81686611,276
28870939,288
32520,292
10820883,300
56114,304
118980,308
167978,316
15567419,320
11625998,324
1788919,624
755031,328
10563757,332
9294505,340
7291300,344
9843028,348
330815,352
259091970,360
81790841,364
37757813,368
4701957,372
8380100,376
60730582,380
2794445,388
127141000,392
9494246,400
17542806,398
46851488,404
116707,296
25258015,408
51014947,410
3908743,414
5956900,417
6787419,418
1977527,428
6398940,422
2118521,426
4612329,430
6192235,434
2904910,440
569604,442
615239,446
2070226,807
24850912,450
16938942,454
31068833,458
435582,462
18112907,466
445053,470
49410,584
3946220,478
1262605,480
120149897,484
109462,583
2835978,498
2964749,496
622159,499
34680458,504
26843246,508
51483949,104
2282704,516
11185,520
27610325,524
16939923,528
269460,540
4609400,554
6298598,558
20128124,562
183995785,566
51514,580
4191776,512
210969298,586
17794,585
3957099,591
8682174,598
6177950,600
30711863,604
103031365,608
37986412,616
10358076,620
2414573,634
19815616,642
144096870,643
11642959,646
203571,882
33570,674
201124,678
32749848,682
14356181,686
7095383,688
93419,690
7314773,694
5535002,702
38825,534
5423801,703
2063531,705
612660,90
13763906,706
55876504,710
11194299,728
46444832,724
20970000,144
47790,659
175623,662
106482,670
38171178,729
575475,740
1133936,748
9799186,752
19205178,760
8524063,762
52542823,834
70294397,764
1205813,626
7473229,768
106122,776
1460177,780
11557779,788
79646178,792
5766431,795
36538,796
10877,798
37477356,800
45154036,804
8916899,784
65116219,826
320738994,842
3402818,858
31298900,860
276438,548
30529716,862
92191398,704
4270092,275
28516545,887
16248230,894
14154937,716
