i,j,k,q,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19
156,842,260111.0,2.000,0,1040449.105,2573.727,103911.954,7872.755,79909.916,0,412499.008,3811.606,0,131340.563,344.320,190.544,2.000,79.001,35016.133,43.868,289999.650,0,4.398
156,842,271000.0,1040449.105,0,1040449.105,2573.727,103911.954,7872.755,79909.916,0,412499.008,3811.606,0,131340.563,344.320,190.544,2.000,79.001,35016.133,43.868,289999.650,0,4.398
156,842,271121.0,43.868,0,1040449.105,2573.727,103911.954,7872.755,79909.916,0,412499.008,3811.606,0,131340.563,344.320,190.544,2.000,79.001,35016.133,43.868,289999.650,0,4.398
156,842,300210.0,3811.606,0,1040449.105,2573.727,103911.954,7872.755,79909.916,0,412499.008,3811.606,0,131340.563,344.320,190.544,2.000,79.001,35016.133,43.868,289999.650,0,4.398
156,842,300490.0,7872.755,0,1040449.105,2573.727,103911.954,7872.755,79909.916,0,412499.008,3811.606,0,131340.563,344.320,190.544,2.000,79.001,35016.133,43.868,289999.650,0,4.398
156,842,847193.0,131340.563,0,1040449.105,2573.727,103911.954,7872.755,79909.916,0,412499.008,3811.606,0,131340.563,344.320,190.544,2.000,79.001,35016.133,43.868,289999.650,0,4.398
156,842,847330.0,412499.008,0,1040449.105,2573.727,103911.954,7872.755,79909.916,0,412499.008,3811.606,0,131340.563,344.320,190.544,2.000,79.001,35016.133,43.868,289999.650,0,4.398
156,842,851790.0,35016.133,0,1040449.105,2573.727,103911.954,7872.755,79909.916,0,412499.008,3811.606,0,131340.563,344.320,190.544,2.000,79.001,35016.133,43.868,289999.650,0,4.398
156,842,852520.0,103911.954,0,1040449.105,2573.727,103911.954,7872.755,79909.916,0,412499.008,3811.606,0,131340.563,344.320,190.544,2.000,79.001,35016.133,43.868,289999.650,0,4.398
156,842,854211.0,2573.727,0,1040449.105,2573.727,103911.954,7872.755,79909.916,0,412499.008,3811.606,0,131340.563,344.320,190.544,2.000,79.001,35016.133,43.868,289999.650,0,4.398
156,842,870322.0,190.544,0,1040449.105,2573.727,103911.954,7872.755,79909.916,0,412499.008,3811.606,0,131340.563,344.320,190.544,2.000,79.001,35016.133,43.868,289999.650,0,4.398
156,842,870323.0,79909.916,0,1040449.105,2573.727,103911.954,7872.755,79909.916,0,412499.008,3811.606,0,131340.563,344.320,190.544,2.000,79.001,35016.133,43.868,289999.650,0,4.398
156,842,870324.0,4.398,0,1040449.105,2573.727,103911.954,7872.755,79909.916,0,412499.008,3811.606,0,131340.563,344.320,190.544,2.000,79.001,35016.133,43.868,289999.650,0,4.398
156,842,870332.0,79.001,0,1040449.105,2573.727,103911.954,7872.755,79909.916,0,412499.008,3811.606,0,131340.563,344.320,190.544,2.000,79.001,35016.133,43.868,289999.650,0,4.398
156,842,870899.0,289999.650,0,1040449.105,2573.727,103911.954,7872.755,79909.916,0,412499.008,3811.606,0,131340.563,344.320,190.544,2.000,79.001,35016.133,43.868,289999.650,0,4.398
156,842,880240.0,344.320,0,1040449.105,2573.727,103911.954,7872.755,79909.916,0,412499.008,3811.606,0,131340.563,344.320,190.544,2.000,79.001,35016.133,43.868,289999.650,0,4.398
484,842,270900.0,25433495.738,25433495.738,1027039.912,570.766,2957.134,7791.615,1652329.113,37.494,4418.769,340.721,0,4875.315,0,775168.503,0,4630.901,4810.496,55532.797,425414.993,0,105303.515
484,842,271000.0,1027039.912,25433495.738,1027039.912,570.766,2957.134,7791.615,1652329.113,37.494,4418.769,340.721,0,4875.315,0,775168.503,0,4630.901,4810.496,55532.797,425414.993,0,105303.515
484,842,271121.0,55532.797,25433495.738,1027039.912,570.766,2957.134,7791.615,1652329.113,37.494,4418.769,340.721,0,4875.315,0,775168.503,0,4630.901,4810.496,55532.797,425414.993,0,105303.515
484,842,300210.0,340.721,25433495.738,1027039.912,570.766,2957.134,7791.615,1652329.113,37.494,4418.769,340.721,0,4875.315,0,775168.503,0,4630.901,4810.496,55532.797,425414.993,0,105303.515
484,842,300490.0,7791.615,25433495.738,1027039.912,570.766,2957.134,7791.615,1652329.113,37.494,4418.769,340.721,0,4875.315,0,775168.503,0,4630.901,4810.496,55532.797,425414.993,0,105303.515
484,842,710812.0,37.494,25433495.738,1027039.912,570.766,2957.134,7791.615,1652329.113,37.494,4418.769,340.721,0,4875.315,0,775168.503,0,4630.901,4810.496,55532.797,425414.993,0,105303.515
484,842,847193.0,4875.315,25433495.738,1027039.912,570.766,2957.134,7791.615,1652329.113,37.494,4418.769,340.721,0,4875.315,0,775168.503,0,4630.901,4810.496,55532.797,425414.993,0,105303.515
484,842,847330.0,4418.769,25433495.738,1027039.912,570.766,2957.134,7791.615,1652329.113,37.494,4418.769,340.721,0,4875.315,0,775168.503,0,4630.901,4810.496,55532.797,425414.993,0,105303.515
484,842,851790.0,4810.496,25433495.738,1027039.912,570.766,2957.134,7791.615,1652329.113,37.494,4418.769,340.721,0,4875.315,0,775168.503,0,4630.901,4810.496,55532.797,425414.993,0,105303.515
484,842,852520.0,2957.134,25433495.738,1027039.912,570.766,2957.134,7791.615,1652329.113,37.494,4418.769,340.721,0,4875.315,0,775168.503,0,4630.901,4810.496,55532.797,425414.993,0,105303.515
484,842,854211.0,570.766,25433495.738,1027039.912,570.766,2957.134,7791.615,1652329.113,37.494,4418.769,340.721,0,4875.315,0,775168.503,0,4630.901,4810.496,55532.797,425414.993,0,105303.515
484,842,870322.0,775168.503,25433495.738,1027039.912,570.766,2957.134,7791.615,1652329.113,37.494,4418.769,340.721,0,4875.315,0,775168.503,0,4630.901,4810.496,55532.797,425414.993,0,105303.515
484,842,870323.0,1652329.113,25433495.738,1027039.912,570.766,2957.134,7791.615,1652329.113,37.494,4418.769,340.721,0,4875.315,0,775168.503,0,4630.901,4810.496,55532.797,425414.993,0,105303.515
484,842,870324.0,105303.515,25433495.738,1027039.912,570.766,2957.134,7791.615,1652329.113,37.494,4418.769,340.721,0,4875.315,0,775168.503,0,4630.901,4810.496,55532.797,425414.993,0,105303.515
484,842,870332.0,4630.901,25433495.738,1027039.912,570.766,2957.134,7791.615,1652329.113,37.494,4418.769,340.721,0,4875.315,0,775168.503,0,4630.901,4810.496,55532.797,425414.993,0,105303.515
484,842,870899.0,425414.993,25433495.738,1027039.912,570.766,2957.134,7791.615,1652329.113,37.494,4418.769,340.721,0,4875.315,0,775168.503,0,4630.901,4810.496,55532.797,425414.993,0,105303.515
124,842,260111.0,663079.536,141020841.558,11692220.359,72.181,3270.947,32236.109,967682.779,54.332,6890.094,1036.024,0,1318.402,1792.150,526109.027,663079.536,26001.824,20.502,24683916.598,174341.508,661303.605,610680.968
124,842,270112.0,661303.605,141020841.558,11692220.359,72.181,3270.947,32236.109,967682.779,54.332,6890.094,1036.024,0,1318.402,1792.150,526109.027,663079.536,26001.824,20.502,24683916.598,174341.508,661303.605,610680.968
124,842,270900.0,141020841.558,141020841.558,11692220.359,72.181,3270.947,32236.109,967682.779,54.332,6890.094,1036.024,0,1318.402,1792.150,526109.027,663079.536,26001.824,20.502,24683916.598,174341.508,661303.605,610680.968
124,842,271000.0,11692220.359,141020841.558,11692220.359,72.181,3270.947,32236.109,967682.779,54.332,6890.094,1036.024,0,1318.402,1792.150,526109.027,663079.536,26001.824,20.502,24683916.598,174341.508,661303.605,610680.968
