population,iso_code
34636207,4
2876101,8
40339329,12
50448,16
72540,20
29154746,24
90564,28
43590368,32
2865835,51
104874,533
24190907,36
8736668,40
9757812,31
395976,44
1409661,48
159784568,50
278649,52
9469379,112
11331422,56
367313,84
11260085,204
64554,60
749761,64
11263015,68
3480986,70
2352416,72
206859578,76
29739,92
425994,96
7127822,100
19275498,854
10903327,108
558394,132
15624584,116
23711630,120
36109487,124
62255,136
4904177,140
14592585,148
18083879,152
1387790000,156
47625955,170
746232,174
81430977,180
5186824,178
4945205,188
24213622,384
4174349,191
11342012,192
159664,531
1197881,196
10566332,203
5728010,208
1023261,262
70075,212
10527592,214
16439585,218
99784030,818
6250510,222
1398927,226
3365287,232
1315790,233
105293228,231
918371,242
5495303,246
293541,258
2086206,266
2317206,270
3727505,268
82348669,276
29554303,288
32565,292
10775971,300
56186,304
119966,308
168346,316
15827690,320
11930985,324
1834552,624
759087,328
10713849,332
9460798,340
7336600,344
9814023,348
335439,352
261850182,360
83306231,364
38697943,368
4755335,372
8546000,376
60627498,380
2802695,388
127076000,392
9964656,400
17794055,398
47894670,404
118513,296
25389611,408
51217803,410
4048085,414
6079500,417
6891363,418
1959537,428
6258619,422
2143872,426
4706097,430
6282196,434
2868231,440
582014,442
626688,446
2072490,807
25501941,450
17405624,454
31526418,458
454252,462
18700106,466
455356,470
48329,584
4051890,478
1263473,480
121519221,484
109925,583
2803186,498
3029555,496
622303,499
35107264,504
27696493,508
51892349,104
2323352,516
11437,520
27861186,524
17030314,528
270220,540
4714100,554
6389235,558
20921743,562
188666931,566
51133,580
4398070,512
213524840,586
17816,585
4026336,591
8899169,598
6266615,600
31132779,604
104875266,608
37970087,616
10325452,620
2595166,634
19702267,642
144342397,643
11930899,646
205544,882
33834,674
204632,678
33416270,682
14751356,686
7058322,688
94677,690
7493913,694
5607283,702
39969,534
5430798,703
2065042,705
628102,90
14292847,706
56422274,710
11066105,728
46484062,724
21203000,144
47788,659
176413,662
105963,670
39377169,729
581453,740
1142524,748
9923085,752
18964252,760
8725318,762
54401802,834
70607037,764
1224562,626
7661354,768
105707,776
1469330,780
11685667,788
81019394,792
5868561,795
38246,796
10852,798
38748299,800
45004673,804
8994263,784
65611593,826
323071755,842
3413766,858
31847900,860
283218,548
30741464,862
93126529,704
4367088,275
29274002,887
16767761,894
14452704,716
