i,j,k,q,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19
124,842,270900.0,90326233.980,90326233.980,15180256.008,547689.717,897.954,74.478,0,1498235.825,16.782,40.390,0,1535.722,111337927.112,2902.392,0,596.425,4845.245,93.280,738.430,0,0
124,842,271000.0,15180256.008,90326233.980,15180256.008,547689.717,897.954,74.478,0,1498235.825,16.782,40.390,0,1535.722,111337927.112,2902.392,0,596.425,4845.245,93.280,738.430,0,0
124,842,271121.0,111337927.112,90326233.980,15180256.008,547689.717,897.954,74.478,0,1498235.825,16.782,40.390,0,1535.722,111337927.112,2902.392,0,596.425,4845.245,93.280,738.430,0,0
124,842,300490.0,897.954,90326233.980,15180256.008,547689.717,897.954,74.478,0,1498235.825,16.782,40.390,0,1535.722,111337927.112,2902.392,0,596.425,4845.245,93.280,738.430,0,0
124,842,710812.0,93.280,90326233.980,15180256.008,547689.717,897.954,74.478,0,1498235.825,16.782,40.390,0,1535.722,111337927.112,2902.392,0,596.425,4845.245,93.280,738.430,0,0
124,842,844390.0,4845.245,90326233.980,15180256.008,547689.717,897.954,74.478,0,1498235.825,16.782,40.390,0,1535.722,111337927.112,2902.392,0,596.425,4845.245,93.280,738.430,0,0
124,842,847120.0,1535.722,90326233.980,15180256.008,547689.717,897.954,74.478,0,1498235.825,16.782,40.390,0,1535.722,111337927.112,2902.392,0,596.425,4845.245,93.280,738.430,0,0
124,842,847193.0,738.430,90326233.980,15180256.008,547689.717,897.954,74.478,0,1498235.825,16.782,40.390,0,1535.722,111337927.112,2902.392,0,596.425,4845.245,93.280,738.430,0,0
124,842,847330.0,0,90326233.980,15180256.008,547689.717,897.954,74.478,0,1498235.825,16.782,40.390,0,1535.722,111337927.112,2902.392,0,596.425,4845.245,93.280,738.430,0,0
124,842,851790.0,0,90326233.980,15180256.008,547689.717,897.954,74.478,0,1498235.825,16.782,40.390,0,1535.722,111337927.112,2902.392,0,596.425,4845.245,93.280,738.430,0,0
124,842,852520.0,16.782,90326233.980,15180256.008,547689.717,897.954,74.478,0,1498235.825,16.782,40.390,0,1535.722,111337927.112,2902.392,0,596.425,4845.245,93.280,738.430,0,0
124,842,852810.0,596.425,90326233.980,15180256.008,547689.717,897.954,74.478,0,1498235.825,16.782,40.390,0,1535.722,111337927.112,2902.392,0,596.425,4845.245,93.280,738.430,0,0
124,842,854211.0,74.478,90326233.980,15180256.008,547689.717,897.954,74.478,0,1498235.825,16.782,40.390,0,1535.722,111337927.112,2902.392,0,596.425,4845.245,93.280,738.430,0,0
124,842,854219.0,0,90326233.980,15180256.008,547689.717,897.954,74.478,0,1498235.825,16.782,40.390,0,1535.722,111337927.112,2902.392,0,596.425,4845.245,93.280,738.430,0,0
124,842,870323.0,547689.717,90326233.980,15180256.008,547689.717,897.954,74.478,0,1498235.825,16.782,40.390,0,1535.722,111337927.112,2902.392,0,596.425,4845.245,93.280,738.430,0,0
124,842,870324.0,1498235.825,90326233.980,15180256.008,547689.717,897.954,74.478,0,1498235.825,16.782,40.390,0,1535.722,111337927.112,2902.392,0,596.425,4845.245,93.280,738.430,0,0
124,842,870332.0,40.390,90326233.980,15180256.008,547689.717,897.954,74.478,0,1498235.825,16.782,40.390,0,1535.722,111337927.112,2902.392,0,596.425,4845.245,93.280,738.430,0,0
