population,inflation,exports,imports,income,gni,fdi,industry,agri,remit,energy,electric,iso_code,netExport
17788819,5.554129889494055,28.3455147196928,37.535256223719,5.5,1910.0,-1460000,25.8733559916857,11.3988849054576,25350000.0,1320.75880818207,1802.8702836215,4,-9.189741504026202
3148281,33.1802743753957,10.1971272832635,35.2284289698301,5.5,800,47500000,18.1097656674433,31.5434438797069,25350000.0,384.594958328053,694.664802792381,8,-25.0313016865666
29476031,5.73352275357186,30.9063113798645,21.3376001260742,5.5,1520,260000000,25.8733559916857,11.3988849054576,25350000.0,816.083786857193,580.912674437071,12,9.568711253790301
64682,5.554129889494055,28.3455147196928,37.535256223719,5.5,1910.0,178810136.257774,25.8733559916857,11.3988849054576,25350000.0,1320.75880818207,1802.8702836215,20,-9.189741504026202
14871146,219.176721172974,28.3455147196928,37.535256223719,5.5,450,411660000,60.757741389497,9.00201794169947,179950000,449.267258891816,69.3288869600231,24,-9.189741504026202
71218,5.554129889494055,113.671116141636,87.1048664885426,5.5,9140,22944444.4444444,12.513128037134,1.71902463445559,1111111.11111111,1320.75880818207,1802.8702836215,28,26.566249653093408
35815971,5.554129889494055,10.5608501019262,12.7753287418177,3.5,8110,9160272052.4446,27.1791508883114,5.22197210944516,231700000,1614.73000410906,1839.82168178548,32,-2.2144786398915013
3271418,13.960764121791,20.2732693887542,58.2744756657506,5.5,530,51940000,25.8733559916857,11.3988849054576,37190000,569.122319434569,1445.24484489601,51,-38.0012062769964
81858,2.99994809778411,82.5309992706054,86.2509117432531,5.5,17980,197821229.050279,17.1338439095551,0.429978118161926,10000000,1320.75880818207,1802.8702836215,533,-3.7199124726476924
18423037,0.224887556221881,19.1287538535611,18.8546030742255,5.5,22060,8088068982.50254,25.1981574768068,3.22998483727013,771092538.014612,5497.49658538926,9338.47117606071,36,0.2741507793355993
7968041,1.30597857227694,37.0280827384957,37.8396074770871,8.1,29560,2668974816.3705,28.6763839380903,1.90548344310224,342774261.5,3550.40417086207,6620.44786165131,40,-0.8115247385914017
7838250,3.6743480968473,29.0346072254061,53.0443593072222,5.5,410,1114838000,36.9914194345059,20.1279169173289,19039000,1444.31945906293,1813.67014320799,31,-24.009752081816103
310171,0.544150383378706,36.8804047779975,42.8544807938904,5.5,14070,210000000,12.7093216431157,1.56181897428447,36800000,1320.75880818207,1802.8702836215,44,-5.974076015892905
652643,2.43155133955926,79.07678217749,69.5052959617436,5.5,9400,329284164.223769,25.8733559916857,11.3988849054576,634840484.626109,11104.0400341381,19238.6955808919,48,9.571486215746404
122039226,5.30560105668804,10.5203705573506,15.8051428327327,5.5,390,139376153.115317,21.8626700944451,23.2461437492233,1714249.52766601,136.91054546675,82.4570945738381,50,-5.284772275382101
263224,7.71053878969884,46.4975124378109,49.265671641791,5.5,9220,28203499.05,16.0417910447761,2.6726368159204,16250000,1320.75880818207,1802.8702836215,52,-2.7681592039801046
10117433,63.9373663357479,59.8598805986424,65.6562985579151,5.5,1540,351600000,35.92617833874,13.4179320121037,25700000,2505.497392471,2952.92294003825,112,-5.796417959272695
217117,1.14903756760539,44.0668202764977,41.8778801843318,2.6,3930,11955000,20.3772580645161,11.3909907834101,7550000,1320.75880818207,1802.8702836215,84,2.1889400921659004
6387026,3.46629590564781,27.1761345944549,31.5354950169417,5.5,370,12183267.3373419,13.5207077594723,35.7819301606788,17064455.446481,349.376846125255,47.1267848291208,204,-4.359360422486798
60497,5.554129889494055,28.3455147196928,37.535256223719,5.5,1910.0,34700000,8.10000044325833,0.799999454451286,25350000.0,1320.75880818207,1802.8702836215,60,-9.189741504026202
546865,6.50548718269093,37.3014697549024,47.9099674736012,5.5,560,-700000,33.7665795255564,27.2914789766781,25350000.0,1320.75880818207,1802.8702836215,64,-10.6084977186988
8137619,4.70844436028193,21.1106028890051,29.3590599168697,2,930,730600000,26.4351094914312,14.9182592343414,12000000,542.429794267832,378.734860897272,68,-8.2484570278646
4047748,5.554129889494055,27.8336349003353,72.7973298559813,5.5,930,178810136.257774,25.2176237420683,17.5180457264676,25350000.0,665.653346008694,1277.99457871389,70,-44.963694955646005
168546707,6.92671251629151,6.98364957530895,9.59255968601575,2.3,5060,18992934310.6468,22.5941476157036,4.68504702949228,361000000,1057.72522153162,1748.42336136535,76,-2.608910110706801
18591,5.554129889494055,28.3455147196928,37.535256223719,5.5,1910.0,3636650000,25.8733559916857,11.3988849054576,25350000.0,1320.75880818207,1802.8702836215,92,-9.189741504026202
313215,1.71156004489334,57.1854347544383,58.4942335104315,5.5,16150,701740000,56.0453466372943,1.22734352727744,25350000.0,7458.46782561499,7592.22898009355,96,-1.3087987559932017
8312068,1058.37355921973,49.5761875420895,36.887548925233,5.5,1460,504800000,21.7750696879005,20.4768437246107,15500000,2504.1226804208,3970.13113944689,100,12.688638616856501
10897353,2.31869062176682,10.8125309984677,26.6038877818834,5.5,250,9765809,19.6827849656377,33.7387786954986,47729740.14,1320.75880818207,1802.8702836215,854,-15.7913567834157
5923862,31.1115898319694,9.83547257876313,14.4399066511085,5.5,150,1,13.8904315635939,42.4218641481914,2332902.10278108,1320.75880818207,1802.8702836215,108,-4.60443407234537
430654,8.55606258148638,27.4417263018333,58.5376198528858,5.5,1270,11576610.7394555,26.2073529523015,11.6806517652532,5237470.03899402,1320.75880818207,1802.8702836215,132,-31.095893551052498
11431569,7.96021397777458,33.6169355757404,45.3177088818631,5.5,320,203700000,16.385736993612,44.4472126765958,38800000,263.737287506203,23.9687133061087,116,-11.700773306122699
13941181,4.78623881860373,26.6506553314661,21.8189799389794,5.5,780,149614497.755635,28.407483771746,18.9678877806491,35565340.556248,418.60449268968,180.472515205132,120,4.8316753924867015
29905948,1.62121638084528,38.1329701894927,36.2036398921595,7.4,1910.0,15182400421.6905,27.7164390585459,2.1394979573159,1547247001.22047,8056.24362752186,16653.6770544776,124,1.9293302973332018
35579,5.554129889494055,28.3455147196928,37.535256223719,5.5,1910.0,3150869999.9,25.8733559916857,11.3988849054576,25350000.0,1320.75880818207,1802.8702836215,136,-9.189741504026202
3458472,1.61131347760912,26.8842802618525,28.9342280996326,5.5,300,1497424,25.8733559916857,11.3988849054576,25350000.0,1320.75880818207,1802.8702836215,140,-2.049947837780099
7450874,5.57225711125332,18.5438360838388,30.7692650574492,5.5,210,44293940.5,13.667096250433,38.3446636603636,25350000.0,1320.75880818207,1802.8702836215,148,-12.225428973610398
14809289,6.13386464357923,25.8780042717613,28.2212939074003,5.5,5610,5271400000,29.9914868716839,5.00655021831518,20500000,1536.13188317143,2066.13565310259,152,-2.343289635639003
1230075000,2.78646505531886,19.493164459713,15.039852899528,5.5,750,45439000000,47.0990459939618,17.8952767359584,198000000,871.756323801394,852.740686543503,156,4.453311560185
37291946,18.4700217119089,14.8415437434707,20.7555243452086,5.5,2690,5562216361.61769,27.0786703606707,12.6064711492187,112029278.906265,735.583763850779,928.377403528365,170,-5.913980601737899
