population,inflation,exports,imports,industry,agri,iso_code
36686784,0.626149149168811,37.791311486663346,43.375977452278605,13.3872469597976,22.0428967527575,4
2866376,2.02805963071136,31.5719272134517,45.236190919583,21.2793061291073,18.4294792485754,8
41927007,4.26999020467078,25.8611508241538,32.2043409466652,38.8051863915231,11.87420084925,12
48424,2.4387365552293803,68.2316118935837,103.599374021909,24.0634751077418,6.59010772590188,16
75013,2.4387365552293803,37.791311486663346,43.375977452278605,11.0763337210625,0.546367882815281,20
31273533,19.6305943641961,40.8362898299819,25.541723496358,47.9315418514046,8.60774180183334,24
91626,1.20715793367003,64.5248555713149,70.539297286701,21.1069983049088,1.73591171688518,28
44494502,2.4387365552293803,14.4366857499034,16.3258502050892,23.7195923321304,4.53787889681146,32
2836557,2.52023382001631,39.3928940286073,53.0802129926047,24.7565578476257,13.9423116554146,51
105962,3.62604141352956,73.7962316817865,74.6336357292394,11.4375610607118,0.0302686671318911,533
24966643,1.91140094445692,21.8734041196439,21.5161440003039,24.1439568878264,2.45811026057792,36
8840521,1.99837981429546,55.4622191178234,52.4614203877556,25.3664293905671,1.13060289104829,40
9939771,2.26854690374005,54.0922938620586,37.5802826749238,52.250536882585,5.21250561853868,31
401906,2.26586346678726,35.8558459681086,39.8062058044184,12.2164035183995,0.681258721522758,44
1487340,2.08766938046983,79.2525219237919,71.5535326351172,42.8605583093433,0.288059552171118,48
163683958,5.5436213948647,12.6747879443391,19.8398437797492,31.9828135899766,12.4800771856196,50
279688,3.67381410406798,35.5248066264005,39.9389227579115,12.3350023008335,1.43605911478491,52
9438785,4.87230220550689,70.4550452625374,68.9386909876332,31.2656097096379,6.59010772590188,112
11427054,2.05316499865181,83.0796294670067,83.4151576304182,18.9339307746014,0.603042098829086,56
382066,0.269982622646432,51.0799136069114,48.6393088552916,13.790879049676,7.06834989200864,84
11940683,0.644803622440778,27.2742306189085,34.5209638714363,14.6419567509163,28.0647739127077,204
63918,2.4387365552293803,51.4791563825902,26.0761139981486,5.7012359712742,0.234985525140753,60
762096,2.72396386183716,30.8177060148869,53.3693056118033,38.2034608946087,15.991248235553,64
11606905,2.27205987230148,25.9887950657509,31.1211695675762,26.2465894695308,11.4819241618103,68
3400129,1.41710814018026,42.6093498916213,57.2875421664718,24.5234421550422,5.88543547060014,70
2451409,3.2380155894771,44.2281439237392,43.2269600709101,34.8003276690785,2.11731083204729,72
210166592,3.66485028376724,14.6349994952986,14.241203879248,18.7490514539899,4.42039930378329,76
30335,2.4387365552293803,37.791311486663346,43.375977452278605,24.0634751077418,6.59010772590188,92
434274,1.02505179290213,51.93227637834,41.964043494891,63.2436451560024,1.01762308070597,96
7025037,2.81454473824833,65.6958529144087,63.1558058786326,22.4046812030888,3.3846096037225,100
20392723,1.95594302672532,28.0789061419219,32.5167194817269,25.5894433780973,20.9974732840091,854
11493472,-2.8146980766847,5.6856543143069,20.9140481504705,11.1072170298745,29.0119004854571,108
571202,1.25699566690509,48.9526443748728,67.9984228000264,19.2792454849665,5.2919842946009,132
16025238,2.45908515380133,61.5957275117758,63.3028853207447,32.2893931182208,22.0129559006773,116
25076747,1.0742994515814,18.7362534690181,21.8513494080099,24.6822312095632,16.4988006978593,120
37065084,2.268225672481,32.2801824238976,34.1675344147084,24.6223059554353,1.69989157622406,124
64884,2.4387365552293803,71.587849798792,45.5292735739521,7.41439077440039,0.408587365212128,136
5094780,1.61215686991555,15.9400300007701,33.7201700016618,20.5557559569889,31.2413315121572,140
15604210,4.27462198610544,36.1906824485852,38.0140712835805,14.3695188471246,45.0962363417696,148
18701450,2.43488981353058,28.5290447397614,29.6480058936789,27.8615227740018,3.92743592458754,152
1402760000,2.07479039965578,19.1121035363869,18.4536805657087,39.6870118233949,7.04302025319932,156
49276961,3.24056932930567,15.8997196775431,20.6350331193542,26.8954667535946,6.22570968960032,170
776313,2.4387365552293803,12.909022989086,30.087130352257,8.87679586458954,33.7201530586489,174
87087355,2.4387365552293803,32.5535282648245,37.3662008856553,43.2552601071892,18.8873431859821,180
5441062,1.15277896375521,71.0295689513304,49.0061933727199,52.1048592745053,6.90911470373372,178
5040734,2.22111461526584,33.7385107761536,33.2068312404824,19.5581432647296,4.48382833722173,188
25493988,0.359409031380664,22.6406826881759,23.4268036891012,21.0205173031592,20.5485703581492,384
4087843,1.50012501041753,49.3929449603522,50.2713817952253,19.8570185266727,2.95146346740219,191
11328244,2.4387365552293803,14.5227386306847,12.5607196401799,24.8775612193903,3.78310844577711,192
159336,2.58368756641871,37.791311486663346,43.375977452278605,18.1905618722367,0.154194139790356,531
1218831,1.43549119531762,74.9673023347764,73.5606602877634,12.1691092934079,1.72854144353231,196
10629928,2.14949494949492,76.9435759590934,71.0049473632267,31.7708544140094,1.93625258997764,203
5793636,0.813609467455633,56.5598044910739,50.4151919422829,20.8244932866501,1.0265693512957,208
1057198,0.147970849877116,156.619875027706,143.778811648303,13.9916053923181,1.41671001183006,262
70823,0.989191119189815,29.1932598071942,77.7672443720458,16.1501588912329,11.0235799930569,212
10765531,3.56443426013507,23.5514313052003,28.5045350822178,28.8112847763176,5.14778281886673,214
17015672,-0.224103246005465,22.6046839884209,23.7574469602687,32.5426250874751,8.94926952274822,218
103740765,14.4014657807421,18.9119754811376,29.3662955784919,34.963391193041,11.2250002276108,818
6276342,1.09033000581896,28.9343737810256,46.69924310697,25.0755067570813,5.13276852985202,222
1502091,1.34988438751676,59.6145347244398,44.0311468985135,57.2950816179221,2.25797968820385,226
