i,j,k,q,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19
124,842,270900.0,78383587.531,78383587.531,19953438.631,492160.792,1960.352,9961.505,37483.562,5604.406,1600871.095,10.014,153842623.002,636579.175,6547.566,1159.790,8486.955,4467.698,228.799,612.571,3455.500,0,4633.007
124,842,271000.0,19953438.631,78383587.531,19953438.631,492160.792,1960.352,9961.505,37483.562,5604.406,1600871.095,10.014,153842623.002,636579.175,6547.566,1159.790,8486.955,4467.698,228.799,612.571,3455.500,0,4633.007
124,842,271121.0,153842623.002,78383587.531,19953438.631,492160.792,1960.352,9961.505,37483.562,5604.406,1600871.095,10.014,153842623.002,636579.175,6547.566,1159.790,8486.955,4467.698,228.799,612.571,3455.500,0,4633.007
124,842,300490.0,37483.562,78383587.531,19953438.631,492160.792,1960.352,9961.505,37483.562,5604.406,1600871.095,10.014,153842623.002,636579.175,6547.566,1159.790,8486.955,4467.698,228.799,612.571,3455.500,0,4633.007
124,842,710239.0,0,78383587.531,19953438.631,492160.792,1960.352,9961.505,37483.562,5604.406,1600871.095,10.014,153842623.002,636579.175,6547.566,1159.790,8486.955,4467.698,228.799,612.571,3455.500,0,4633.007
124,842,847120.0,1159.790,78383587.531,19953438.631,492160.792,1960.352,9961.505,37483.562,5604.406,1600871.095,10.014,153842623.002,636579.175,6547.566,1159.790,8486.955,4467.698,228.799,612.571,3455.500,0,4633.007
124,842,847191.0,4633.007,78383587.531,19953438.631,492160.792,1960.352,9961.505,37483.562,5604.406,1600871.095,10.014,153842623.002,636579.175,6547.566,1159.790,8486.955,4467.698,228.799,612.571,3455.500,0,4633.007
124,842,847192.0,6547.566,78383587.531,19953438.631,492160.792,1960.352,9961.505,37483.562,5604.406,1600871.095,10.014,153842623.002,636579.175,6547.566,1159.790,8486.955,4467.698,228.799,612.571,3455.500,0,4633.007
124,842,847193.0,612.571,78383587.531,19953438.631,492160.792,1960.352,9961.505,37483.562,5604.406,1600871.095,10.014,153842623.002,636579.175,6547.566,1159.790,8486.955,4467.698,228.799,612.571,3455.500,0,4633.007
124,842,847330.0,9961.505,78383587.531,19953438.631,492160.792,1960.352,9961.505,37483.562,5604.406,1600871.095,10.014,153842623.002,636579.175,6547.566,1159.790,8486.955,4467.698,228.799,612.571,3455.500,0,4633.007
124,842,852520.0,5604.406,78383587.531,19953438.631,492160.792,1960.352,9961.505,37483.562,5604.406,1600871.095,10.014,153842623.002,636579.175,6547.566,1159.790,8486.955,4467.698,228.799,612.571,3455.500,0,4633.007
124,842,852810.0,3455.500,78383587.531,19953438.631,492160.792,1960.352,9961.505,37483.562,5604.406,1600871.095,10.014,153842623.002,636579.175,6547.566,1159.790,8486.955,4467.698,228.799,612.571,3455.500,0,4633.007
124,842,852990.0,4467.698,78383587.531,19953438.631,492160.792,1960.352,9961.505,37483.562,5604.406,1600871.095,10.014,153842623.002,636579.175,6547.566,1159.790,8486.955,4467.698,228.799,612.571,3455.500,0,4633.007
124,842,854211.0,1960.352,78383587.531,19953438.631,492160.792,1960.352,9961.505,37483.562,5604.406,1600871.095,10.014,153842623.002,636579.175,6547.566,1159.790,8486.955,4467.698,228.799,612.571,3455.500,0,4633.007
124,842,854219.0,228.799,78383587.531,19953438.631,492160.792,1960.352,9961.505,37483.562,5604.406,1600871.095,10.014,153842623.002,636579.175,6547.566,1159.790,8486.955,4467.698,228.799,612.571,3455.500,0,4633.007
124,842,870323.0,492160.792,78383587.531,19953438.631,492160.792,1960.352,9961.505,37483.562,5604.406,1600871.095,10.014,153842623.002,636579.175,6547.566,1159.790,8486.955,4467.698,228.799,612.571,3455.500,0,4633.007
124,842,870324.0,1600871.095,78383587.531,19953438.631,492160.792,1960.352,9961.505,37483.562,5604.406,1600871.095,10.014,153842623.002,636579.175,6547.566,1159.790,8486.955,4467.698,228.799,612.571,3455.500,0,4633.007
124,842,870332.0,10.014,78383587.531,19953438.631,492160.792,1960.352,9961.505,37483.562,5604.406,1600871.095,10.014,153842623.002,636579.175,6547.566,1159.790,8486.955,4467.698,228.799,612.571,3455.500,0,4633.007
