population,inflation,exports,imports,income,gni,fdi,industry,agri,remit,energy,electric,iso_code,netExport
18493132,5.0972914933144295,28.3739168903557,37.8656425778805,5.2,2010.0,-10000,25.3495023659924,11.5550578925548,29000000.0,1243.06597940871,1795.07923196638,4,-9.491725687524799
3128530,20.6428588670596,11.4671662578473,36.6703685610943,5.2,860,45010000,15.3468382322371,28.7856504386147,29000000.0,426.682819087559,734.849913537668,8,-25.203202303247
29924668,4.95016163793115,22.5783540098039,22.516096548704,5.2,1560,606600000,25.3495023659924,11.5550578925548,29000000.0,831.920507856595,624.033656781088,12,0.06225746109990027
65186,5.0972914933144295,28.3739168903557,37.8656425778805,5.2,2010.0,208973104.707612,25.3495023659924,11.5550578925548,29000000.0,1243.06597940871,1795.07923196638,20,-9.491725687524799
15366864,107.284821528298,28.3739168903557,37.8656425778805,5.2,410,1113970000,55.1572893027623,12.9111824086392,201650000,433.677424359323,73.2745471034298,24,-9.491725687524799
72572,5.0972914933144295,111.712683567234,83.4308627023946,5.2,9360,22774074.0740741,12.6586336389819,1.66648008874325,1085185.18518518,1243.06597940871,1795.07923196638,28,28.28182086483939
36233195,5.0972914933144295,10.4155819610919,12.934446011977,3.4,7990,7290657132.08156,26.7121357626278,5.25272256987622,246500000,1650.72610902792,1958.03875424179,32,-2.5188640508850995
3240550,8.6724863238516,19.0030199716737,52.8394319098677,5.2,560,232375000,25.3495023659924,11.5550578925548,3210000,585.174430266467,1255.34245729892,51,-33.836411938194
84355,1.8694885361554,79.6377054679638,83.629654478363,5.2,18230,113463687.150838,17.5109023817511,0.407916806440792,11620111.7318436,1243.06597940871,1795.07923196638,533,-3.991949010399196
18607584,0.860134629768157,19.5582295237772,20.4358304198771,5.2,21920,7597610928.17343,25.3625131529819,3.02908930450426,796700672.873205,5584.51919389427,9837.81666658068,36,-0.8776008960998993
7976789,0.92246719668082,38.351021186462,38.5761282051164,5.2,27970,4571855706.7408,28.5106628527989,1.79334392378865,932067504.9,3606.61037918892,6706.7086768874,40,-0.22510701865439842
7913000,-0.772697886033187,22.6995291518921,54.5282799511713,5.2,510,1022967000,34.9561123059931,18.1479974423066,30272000,1485.15341842538,1936.93921395172,31,-31.8287507992792
315398,1.33661336613368,34.6571601675345,43.0690069981649,5.2,15490,146900000,12.677771241084,1.37855944927867,39300000,1243.06597940871,1795.07923196638,44,-8.411846830630402
672484,-0.366533864541796,64.6036729603028,63.8854285837168,5.2,9190,179454413.27302,25.3495023659924,11.5550578925548,725000072.307188,11322.2366628797,19393.7699633002,48,0.718244376586
124350471,8.4022379561323,11.7573312287186,16.1227321741207,5.2,410,190059372.97475,22.6607423702209,22.5874157614312,2557265.56639443,140.072931448728,87.6233110528387,50,-4.365400945402099
263642,-1.26888660701212,42.3932227320861,45.6512530885987,5.2,9630,29160482.23,15.6124249911754,1.99435227673844,17700000,1243.06597940871,1795.07923196638,52,-3.2580303565125988
10071963,72.8697170535353,59.0511292994057,63.9065684365836,7.9,1560,203200000,35.3050083955104,12.0617636126188,19900000,2465.43965659922,3015.40027500101,112,-4.855439137177896
224907,2.19526250037591,43.8730853391685,42.8336980306346,3.3,3830,17650000,19.8296772428884,10.8167560175055,6900000,1243.06597940871,1795.07923196638,84,1.0393873085338967
6584183,5.7533145841706,27.0929395510065,32.5006857471368,5.2,370,11294143.499927,12.5664712925972,36.5766497896743,29877018.3595546,334.315586307367,44.0449483254035,204,-5.407746196130301
60943,5.0972914933144295,28.3739168903557,37.8656425778805,5.2,2010.0,102700000,6.49999936117503,0.699998850115052,29000000.0,1243.06597940871,1795.07923196638,60,-9.491725687524799
557143,10.5855899892462,34.3296793518192,51.2534557405804,5.2,530,208973104.707612,32.9264502907497,25.8386775141367,29000000.0,1243.06597940871,1795.07923196638,64,-16.923776388761198
8286928,7.67322895675084,19.6986848946719,32.5824780634508,5.2,970,949300000,26.1333943093732,12.6254313762121,15100000,538.415200421676,395.804090490469,68,-12.883793168778901
4115059,5.0972914933144295,27.3031972254601,98.3634118315508,5.2,1210,66736468.3604305,27.4301795819969,15.9604100187793,29000000.0,813.789304114473,1610.42648477215,70,-71.06021460609071
171039804,3.19507629280056,7.03050033871807,9.40808459248784,2.4,4920,28855609916.42,22.1187903791379,4.7500447835131,359000000,1067.31265898785,1795.07923196638,76,-2.377584253769771
19079,5.0972914933144295,28.3739168903557,37.8656425778805,5.2,2010.0,8777518710.3,25.3495023659924,11.5550578925548,29000000.0,1243.06597940871,1795.07923196638,92,-9.491725687524799
320152,-0.441379310344899,50.4719764011799,57.4041297935103,5.2,14380,573250000,51.5338510324484,1.41028318584071,29000000.0,7266.08610909818,7730.70291611485,96,-6.932153392330399
8256786,18.6722044420641,41.9413456624665,35.1038573716334,5.2,1440,537317256.150851,21.2891946716025,13.4115642615479,3420338.63825527,2425.94624591215,3932.40178442314,100,6.8374882908331
11201063,5.08433344145323,12.8081030220056,28.1316805532505,5.1,240,4407138.2,17.855937461003,36.5635560806964,46655525.21,1243.06597940871,1795.07923196638,854,-15.3235775312449
6035340,12.5004107653378,7.99975012493753,19.44027986007,5.1,150,1,14.6912847076462,44.538704047976,2158494.30226737,1243.06597940871,1795.07923196638,108,-11.440529735132468
440214,4.39423509983478,22.7961528751425,59.085260875485,5.2,1240,6793745.39412884,26.3779037239978,10.9472496429063,412552.438672325,1243.06597940871,1795.07923196638,132,-36.289108000342495
11669077,14.8065035437762,31.2381457940476,44.3813272088372,5.2,290,115871733.049309,16.7090818119189,44.4799589645189,41900000,294.126519175424,26.4802434674139,116,-13.143181414789598
