i,j,k,q,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19
124,842,270900.0,63112387.707,63112387.707,666656.296,0,853.987,11931891.737,2403238.097,0,1073.706,6434.826,0,326.050,16.838,234.558,0,30716.314,145.833,154.687,0,169.434,12990.504
124,842,271000.0,11931891.737,63112387.707,666656.296,0,853.987,11931891.737,2403238.097,0,1073.706,6434.826,0,326.050,16.838,234.558,0,30716.314,145.833,154.687,0,169.434,12990.504
124,842,271121.0,0,63112387.707,666656.296,0,853.987,11931891.737,2403238.097,0,1073.706,6434.826,0,326.050,16.838,234.558,0,30716.314,145.833,154.687,0,169.434,12990.504
124,842,300490.0,326.050,63112387.707,666656.296,0,853.987,11931891.737,2403238.097,0,1073.706,6434.826,0,326.050,16.838,234.558,0,30716.314,145.833,154.687,0,169.434,12990.504
124,842,710812.0,145.833,63112387.707,666656.296,0,853.987,11931891.737,2403238.097,0,1073.706,6434.826,0,326.050,16.838,234.558,0,30716.314,145.833,154.687,0,169.434,12990.504
124,842,847191.0,234.558,63112387.707,666656.296,0,853.987,11931891.737,2403238.097,0,1073.706,6434.826,0,326.050,16.838,234.558,0,30716.314,145.833,154.687,0,169.434,12990.504
124,842,847192.0,6434.826,63112387.707,666656.296,0,853.987,11931891.737,2403238.097,0,1073.706,6434.826,0,326.050,16.838,234.558,0,30716.314,145.833,154.687,0,169.434,12990.504
124,842,847193.0,1073.706,63112387.707,666656.296,0,853.987,11931891.737,2403238.097,0,1073.706,6434.826,0,326.050,16.838,234.558,0,30716.314,145.833,154.687,0,169.434,12990.504
124,842,847330.0,0,63112387.707,666656.296,0,853.987,11931891.737,2403238.097,0,1073.706,6434.826,0,326.050,16.838,234.558,0,30716.314,145.833,154.687,0,169.434,12990.504
124,842,852520.0,0,63112387.707,666656.296,0,853.987,11931891.737,2403238.097,0,1073.706,6434.826,0,326.050,16.838,234.558,0,30716.314,145.833,154.687,0,169.434,12990.504
124,842,854211.0,853.987,63112387.707,666656.296,0,853.987,11931891.737,2403238.097,0,1073.706,6434.826,0,326.050,16.838,234.558,0,30716.314,145.833,154.687,0,169.434,12990.504
124,842,854219.0,154.687,63112387.707,666656.296,0,853.987,11931891.737,2403238.097,0,1073.706,6434.826,0,326.050,16.838,234.558,0,30716.314,145.833,154.687,0,169.434,12990.504
124,842,870322.0,30716.314,63112387.707,666656.296,0,853.987,11931891.737,2403238.097,0,1073.706,6434.826,0,326.050,16.838,234.558,0,30716.314,145.833,154.687,0,169.434,12990.504
124,842,870323.0,666656.296,63112387.707,666656.296,0,853.987,11931891.737,2403238.097,0,1073.706,6434.826,0,326.050,16.838,234.558,0,30716.314,145.833,154.687,0,169.434,12990.504
124,842,870324.0,2403238.097,63112387.707,666656.296,0,853.987,11931891.737,2403238.097,0,1073.706,6434.826,0,326.050,16.838,234.558,0,30716.314,145.833,154.687,0,169.434,12990.504
124,842,870332.0,16.838,63112387.707,666656.296,0,853.987,11931891.737,2403238.097,0,1073.706,6434.826,0,326.050,16.838,234.558,0,30716.314,145.833,154.687,0,169.434,12990.504
124,842,870829.0,12990.504,63112387.707,666656.296,0,853.987,11931891.737,2403238.097,0,1073.706,6434.826,0,326.050,16.838,234.558,0,30716.314,145.833,154.687,0,169.434,12990.504
124,842,870899.0,0,63112387.707,666656.296,0,853.987,11931891.737,2403238.097,0,1073.706,6434.826,0,326.050,16.838,234.558,0,30716.314,145.833,154.687,0,169.434,12990.504
124,842,880330.0,169.434,63112387.707,666656.296,0,853.987,11931891.737,2403238.097,0,1073.706,6434.826,0,326.050,16.838,234.558,0,30716.314,145.833,154.687,0,169.434,12990.504
842,124,270900.0,3701828.154,3701828.154,451964.769,0,2140.219,2529957.514,472662.250,553.540,2605.639,21736.755,0,15699.700,394.992,28089.240,4192.645,951.368,58.425,463.665,0,2261.027,0
842,124,271000.0,2529957.514,3701828.154,451964.769,0,2140.219,2529957.514,472662.250,553.540,2605.639,21736.755,0,15699.700,394.992,28089.240,4192.645,951.368,58.425,463.665,0,2261.027,0
842,124,271121.0,0,3701828.154,451964.769,0,2140.219,2529957.514,472662.250,553.540,2605.639,21736.755,0,15699.700,394.992,28089.240,4192.645,951.368,58.425,463.665,0,2261.027,0
842,124,300490.0,15699.700,3701828.154,451964.769,0,2140.219,2529957.514,472662.250,553.540,2605.639,21736.755,0,15699.700,394.992,28089.240,4192.645,951.368,58.425,463.665,0,2261.027,0
842,124,710812.0,58.425,3701828.154,451964.769,0,2140.219,2529957.514,472662.250,553.540,2605.639,21736.755,0,15699.700,394.992,28089.240,4192.645,951.368,58.425,463.665,0,2261.027,0
842,124,847191.0,28089.240,3701828.154,451964.769,0,2140.219,2529957.514,472662.250,553.540,2605.639,21736.755,0,15699.700,394.992,28089.240,4192.645,951.368,58.425,463.665,0,2261.027,0
842,124,847192.0,21736.755,3701828.154,451964.769,0,2140.219,2529957.514,472662.250,553.540,2605.639,21736.755,0,15699.700,394.992,28089.240,4192.645,951.368,58.425,463.665,0,2261.027,0
842,124,847193.0,2605.639,3701828.154,451964.769,0,2140.219,2529957.514,472662.250,553.540,2605.639,21736.755,0,15699.700,394.992,28089.240,4192.645,951.368,58.425,463.665,0,2261.027,0
842,124,847330.0,0,3701828.154,451964.769,0,2140.219,2529957.514,472662.250,553.540,2605.639,21736.755,0,15699.700,394.992,28089.240,4192.645,951.368,58.425,463.665,0,2261.027,0
842,124,852520.0,4192.645,3701828.154,451964.769,0,2140.219,2529957.514,472662.250,553.540,2605.639,21736.755,0,15699.700,394.992,28089.240,4192.645,951.368,58.425,463.665,0,2261.027,0
842,124,854211.0,2140.219,3701828.154,451964.769,0,2140.219,2529957.514,472662.250,553.540,2605.639,21736.755,0,15699.700,394.992,28089.240,4192.645,951.368,58.425,463.665,0,2261.027,0
842,124,854219.0,463.665,3701828.154,451964.769,0,2140.219,2529957.514,472662.250,553.540,2605.639,21736.755,0,15699.700,394.992,28089.240,4192.645,951.368,58.425,463.665,0,2261.027,0
842,124,870322.0,951.368,3701828.154,451964.769,0,2140.219,2529957.514,472662.250,553.540,2605.639,21736.755,0,15699.700,394.992,28089.240,4192.645,951.368,58.425,463.665,0,2261.027,0
842,124,870323.0,451964.769,3701828.154,451964.769,0,2140.219,2529957.514,472662.250,553.540,2605.639,21736.755,0,15699.700,394.992,28089.240,4192.645,951.368,58.425,463.665,0,2261.027,0
842,124,870324.0,472662.250,3701828.154,451964.769,0,2140.219,2529957.514,472662.250,553.540,2605.639,21736.755,0,15699.700,394.992,28089.240,4192.645,951.368,58.425,463.665,0,2261.027,0
842,124,870332.0,394.992,3701828.154,451964.769,0,2140.219,2529957.514,472662.250,553.540,2605.639,21736.755,0,15699.700,394.992,28089.240,4192.645,951.368,58.425,463.665,0,2261.027,0
842,124,870829.0,0,3701828.154,451964.769,0,2140.219,2529957.514,472662.250,553.540,2605.639,21736.755,0,15699.700,394.992,28089.240,4192.645,951.368,58.425,463.665,0,2261.027,0
842,124,870899.0,0,3701828.154,451964.769,0,2140.219,2529957.514,472662.250,553.540,2605.639,21736.755,0,15699.700,394.992,28089.240,4192.645,951.368,58.425,463.665,0,2261.027,0
842,124,880240.0,553.540,3701828.154,451964.769,0,2140.219,2529957.514,472662.250,553.540,2605.639,21736.755,0,15699.700,394.992,28089.240,4192.645,951.368,58.425,463.665,0,2261.027,0
842,124,880330.0,2261.027,3701828.154,451964.769,0,2140.219,2529957.514,472662.250,553.540,2605.639,21736.755,0,15699.700,394.992,28089.240,4192.645,951.368,58.425,463.665,0,2261.027,0
392,842,271000.0,318097.230,0,1335547.893,61718.052,10501.813,318097.230,522498.835,0,27705.631,60875.562,160483.687,511.706,11.187,6892.780,2428.112,71352.128,0.003,1661.499,0,3821.500,136865.125
392,842,271121.0,0,0,1335547.893,61718.052,10501.813,318097.230,522498.835,0,27705.631,60875.562,160483.687,511.706,11.187,6892.780,2428.112,71352.128,0.003,1661.499,0,3821.500,136865.125
392,842,300490.0,511.706,0,1335547.893,61718.052,10501.813,318097.230,522498.835,0,27705.631,60875.562,160483.687,511.706,11.187,6892.780,2428.112,71352.128,0.003,1661.499,0,3821.500,136865.125
392,842,710812.0,0.003,0,1335547.893,61718.052,10501.813,318097.230,522498.835,0,27705.631,60875.562,160483.687,511.706,11.187,6892.780,2428.112,71352.128,0.003,1661.499,0,3821.500,136865.125
392,842,847191.0,6892.780,0,1335547.893,61718.052,10501.813,318097.230,522498.835,0,27705.631,60875.562,160483.687,511.706,11.187,6892.780,2428.112,71352.128,0.003,1661.499,0,3821.500,136865.125
392,842,847192.0,60875.562,0,1335547.893,61718.052,10501.813,318097.230,522498.835,0,27705.631,60875.562,160483.687,511.706,11.187,6892.780,2428.112,71352.128,0.003,1661.499,0,3821.500,136865.125
392,842,847193.0,27705.631,0,1335547.893,61718.052,10501.813,318097.230,522498.835,0,27705.631,60875.562,160483.687,511.706,11.187,6892.780,2428.112,71352.128,0.003,1661.499,0,3821.500,136865.125
392,842,847330.0,61718.052,0,1335547.893,61718.052,10501.813,318097.230,522498.835,0,27705.631,60875.562,160483.687,511.706,11.187,6892.780,2428.112,71352.128,0.003,1661.499,0,3821.500,136865.125
392,842,852520.0,2428.112,0,1335547.893,61718.052,10501.813,318097.230,522498.835,0,27705.631,60875.562,160483.687,511.706,11.187,6892.780,2428.112,71352.128,0.003,1661.499,0,3821.500,136865.125
392,842,854211.0,10501.813,0,1335547.893,61718.052,10501.813,318097.230,522498.835,0,27705.631,60875.562,160483.687,511.706,11.187,6892.780,2428.112,71352.128,0.003,1661.499,0,3821.500,136865.125
392,842,854219.0,1661.499,0,1335547.893,61718.052,10501.813,318097.230,522498.835,0,27705.631,60875.562,160483.687,511.706,11.187,6892.780,2428.112,71352.128,0.003,1661.499,0,3821.500,136865.125
392,842,870322.0,71352.128,0,1335547.893,61718.052,10501.813,318097.230,522498.835,0,27705.631,60875.562,160483.687,511.706,11.187,6892.780,2428.112,71352.128,0.003,1661.499,0,3821.500,136865.125
392,842,870323.0,1335547.893,0,1335547.893,61718.052,10501.813,318097.230,522498.835,0,27705.631,60875.562,160483.687,511.706,11.187,6892.780,2428.112,71352.128,0.003,1661.499,0,3821.500,136865.125
392,842,870324.0,522498.835,0,1335547.893,61718.052,10501.813,318097.230,522498.835,0,27705.631,60875.562,160483.687,511.706,11.187,6892.780,2428.112,71352.128,0.003,1661.499,0,3821.500,136865.125
392,842,870332.0,11.187,0,1335547.893,61718.052,10501.813,318097.230,522498.835,0,27705.631,60875.562,160483.687,511.706,11.187,6892.780,2428.112,71352.128,0.003,1661.499,0,3821.500,136865.125
392,842,870829.0,136865.125,0,1335547.893,61718.052,10501.813,318097.230,522498.835,0,27705.631,60875.562,160483.687,511.706,11.187,6892.780,2428.112,71352.128,0.003,1661.499,0,3821.500,136865.125
392,842,870899.0,160483.687,0,1335547.893,61718.052,10501.813,318097.230,522498.835,0,27705.631,60875.562,160483.687,511.706,11.187,6892.780,2428.112,71352.128,0.003,1661.499,0,3821.500,136865.125
392,842,880330.0,3821.500,0,1335547.893,61718.052,10501.813,318097.230,522498.835,0,27705.631,60875.562,160483.687,511.706,11.187,6892.780,2428.112,71352.128,0.003,1661.499,0,3821.500,136865.125
484,842,270900.0,64834495.653,64834495.653,613197.163,47026.478,1012.575,2362478.266,280929.861,3347.750,2755.422,143053.896,103334.461,3470.979,4193.914,5717.421,2225.909,1105.260,50.433,300.291,206702.429,108.586,128115.000
484,842,271000.0,2362478.266,64834495.653,613197.163,47026.478,1012.575,2362478.266,280929.861,3347.750,2755.422,143053.896,103334.461,3470.979,4193.914,5717.421,2225.909,1105.260,50.433,300.291,206702.429,108.586,128115.000
484,842,271121.0,206702.429,64834495.653,613197.163,47026.478,1012.575,2362478.266,280929.861,3347.750,2755.422,143053.896,103334.461,3470.979,4193.914,5717.421,2225.909,1105.260,50.433,300.291,206702.429,108.586,128115.000
484,842,300490.0,3470.979,64834495.653,613197.163,47026.478,1012.575,2362478.266,280929.861,3347.750,2755.422,143053.896,103334.461,3470.979,4193.914,5717.421,2225.909,1105.260,50.433,300.291,206702.429,108.586,128115.000
