population,inflation,exports,imports,income,gni,fdi,industry,agri
40099462,3.49505757399453,34.8936269333784,41.8726259594613,7.0,390,20600976.1,15.589007985948,33.4844989786092
2811666,2.04147163139546,30.6233200288185,43.9123447009596,7.0,6110,1218586452.37158,21.8236781887437,17.6640592642785
44177969,7.22606307415476,26.5840201621143,26.3860318325273,7.0,3660,869681818.9,38.9187839157187,13.0309016188725
45035,3.49505757399453,47.1086036671368,102.115655853315,7.0,6015.0,754551662.4998,24.5038885560255,6.90679365008507
79034,3.49505757399453,34.8936269333784,41.8726259594613,7.0,6015.0,754551662.4998,24.5038885560255,6.90679365008507
34503774,25.7542656453085,44.2757164237557,16.1973489198422,7.0,1710,-4355116552.71589,44.1161600994527,7.9441594922871
93219,2.06299638545331,34.8936269333784,41.8726259594613,7.0,15780,104326338.133796,21.8890041389311,2.16286845046878
45808747,3.49505757399453,18.0342289894963,14.9452529001736,7.0,9960,6782348887.21716,23.5794730059849,7.13154104672929
2790974,7.18483629443373,35.3359795359061,43.8307838542739,7.0,4850,367688991.512864,26.6414047046651,11.3374774674789
106537,3.49505757399453,68.9129323216094,68.2514067372442,7.0,29390,134294947.930282,24.5038885560255,6.90679365008507
25688079,2.86391042204995,22.0751685117277,17.7948768973942,7.0,57170,29126627751.2862,25.5235123309295,2.30660266032948
8955797,2.76666666666665,55.9003086234408,55.3219834500504,7.0,52760,7573797820.41869,25.8339686302555,1.2121891227663
10137750,6.65029912708779,46.6617200296798,29.9089897768306,7.0,4900,-1707666000,48.4273248206665,5.87662627870387
407906,2.90491262928479,27.4949592277358,42.1328265795907,7.0,26490,359584373.8,11.2922220437878,0.489802473101012
1463265,-0.606319385140896,34.8936269333784,41.8726259594613,7.0,6015.0,1765957446.8085,44.8034024127337,0.282221553622208
169356251,5.54565430773474,10.6627789004134,17.0612258032497,7.0,2570,1388504952.98569,33.3160943869001,11.6328584271282
281200,3.49505757399453,30.3749122589702,40.4713241669763,7.0,16900,238735064.3,13.4078615962674,1.48230727940873
9340314,9.46028389623105,72.1107921895665,66.6277800557888,7.0,6940,1225251861.86,32.1536444647219,6.80380934780223
11592952,2.44024851144081,86.862955185586,85.8114962903504,7.0,50490,68634457735.1364,19.6200724809063,0.663174013898942
400031,3.23563659237067,46.4780252859723,50.1103752759382,7.0,6070,130046493.195586,16.7778928356412,7.68908087497491
12996895,1.73353962694033,28.4523789059527,34.2858844962222,7.0,1350,242350119.8924,16.9910215873927,29.436098264657
63867,3.49505757399453,48.7155956126082,23.5189162802385,7.0,122470,792560.9,5.29346512032281,0.290546752418512
777486,7.34683859830958,31.8253972607423,52.7362034441948,7.0,3040,1572302.0752,34.1984782990633,19.1916698038805
12079472,0.737383721452315,27.823902017214,31.1944318511075,7.0,3290,599435619.711037,26.3609324183278,12.9222527243609
3270943,1.98163900587616,42.6655128837511,54.5684233662057,7.0,6810,638360931.212466,25.5254748031173,5.15666578547247
2588423,7.24097765588449,44.6139271349812,49.8655589036683,7.0,6430,55155205.3492625,29.68663037846,1.72178075683453
214326223,8.30165975585676,20.0972752064952,19.0788469417053,7.0,7740,46441108226.69,18.8581281523121,6.89128329164898
31122,3.49505757399453,34.8936269333784,41.8726259594613,7.0,6015.0,39361498410.3,24.5038885560255,6.90679365008507
445373,1.73341388450597,80.1689108582254,66.9542018049515,7.0,30320,204749379.815089,62.7015640831986,1.25628997432451
6877743,3.29774435299511,61.3261830803066,59.647898139683,7.0,11200,2116200000,20.8462047934885,4.36701478207005
22100683,3.65353287214207,34.8936269333784,41.8726259594613,7.0,830,137372387.6134,32.0090238120754,17.4606569700041
12551213,8.4045384507634,5.00029000000004,23.8183699999999,7.0,220,7898029.6924,10.5993900000001,28.6602199999999
587925,1.86215297494637,24.6163254692268,58.0098819886249,7.0,3190,89280247.028146,25.1354525388856,4.40976871786003
16589023,2.9207347759295,64.6024630701785,67.611442731584,7.0,1580,3483461605.65372,36.8347844223392,22.8475000565462
27198628,2.27185762503631,16.7078496205671,20.3620273595776,7.0,1590,849983115.7,24.4981379370419,16.9105625088748
38246108,3.39519318527532,30.735312934068,30.6379653840616,7.0,48310,60177305332.0948,24.5038885560255,6.90679365008507
