population,inflation,exports,imports,income,gni,fdi,industry,agri,iso_code
38972230,1.92096800566845,30.5289067989681,39.3637003432345,5.6,500,12970147.9832,14.0316990961127,26.8206001075115,4
2837849,1.62088661717004,22.7039815429045,37.2477679402658,5.6,5260,1069744879.65453,20.0086089712787,19.2644407973724,8
43451666,2.41513094083414,17.3157889010977,27.9953002099675,5.6,3600,1126709389.50815,32.7121976957974,14.1347925891274,12
46189,1.92096800566845,59.4972067039106,96.5083798882682,5.6,5775.0,470259041.875,23.2514238269639,7.4728799267029,16
77700,1.92096800566845,30.5289067989681,39.3637003432345,5.6,5775.0,470259041.875,12.6601582717327,0.559442769715814,20
33428486,22.2715643068877,35.6420731357392,16.2453727846664,5.6,1740,-1866468113.07454,45.3745136246453,9.05067174603925,24
92664,0.625989707046698,43.7044186649945,47.8207235063896,5.6,14530,73527540.3177174,21.1032607520488,2.2141976776872,28
45376763,1.92096800566845,16.6108723998011,13.6089274859868,4.8,9010,4722648813.09203,22.1805729052757,6.12846695022316,32
2805608,1.21143577838465,29.7649869151934,39.7238206244142,10.2,4470,58582750.1214803,26.8172956979296,11.3498051554549,51
106585,1.92096800566845,51.6450152758823,64.9277808389368,5.6,24590,164087639.734177,23.2514238269639,7.4728799267029,533
25655289,0.846905537459293,24.0082830210698,20.2251510630871,5.6,53620,18700681395.2744,25.4062827896948,2.01210323364172,36
8916864,1.38191063351859,51.6128149281413,48.6108163058355,5.6,48990,-18214727038.8904,25.7811412522824,1.08551938880935,40
10093121,2.75980947008126,35.6235558660257,36.3943117827554,5.6,4480,507151800,41.9563201571824,6.7389474235341,31
406471,0.0385210980053727,25.2879014382185,34.1687715861642,5.6,23500,434599799.803594,12.0294860559823,0.832001649569565,44
1477469,-2.31770629331374,72.7153247387956,67.09261495328,5.6,22950,1021276595.7447,40.2534802742994,0.31287419627649,48
167420951,5.6910747474621,10.442787732227,15.8286588153584,5.6,2300,1525312160.40493,32.9115608902719,11.9996864817656,50
280693,1.92096800566845,29.741213236868,36.7963097735348,5.6,16230,262100000,12.8151890063787,1.48871955135066,52
9379952,5.54814357456511,61.0121492642983,57.9217344260324,10.3,6400,1391600000,30.8286746682162,7.07716352415493,112
11538604,0.740791812220385,79.4467389098884,77.7339834628859,5.6,46030,-17570640274.0961,19.4818347710864,0.75074000769421,56
