i,j,k,q,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9
842,484,300210.0,1741.580,0,1056.790,47100115.303,7552.133,0.628,6057.723,50444.127,34157.873,1741.580,1073.057
842,484,300490.0,6057.723,0,1056.790,47100115.303,7552.133,0.628,6057.723,50444.127,34157.873,1741.580,1073.057
842,484,710812.0,0.628,0,1056.790,47100115.303,7552.133,0.628,6057.723,50444.127,34157.873,1741.580,1073.057
842,484,847193.0,1073.057,0,1056.790,47100115.303,7552.133,0.628,6057.723,50444.127,34157.873,1741.580,1073.057
842,484,847330.0,50444.127,0,1056.790,47100115.303,7552.133,0.628,6057.723,50444.127,34157.873,1741.580,1073.057
842,484,852520.0,7552.133,0,1056.790,47100115.303,7552.133,0.628,6057.723,50444.127,34157.873,1741.580,1073.057
842,484,854211.0,1056.790,0,1056.790,47100115.303,7552.133,0.628,6057.723,50444.127,34157.873,1741.580,1073.057
842,484,870323.0,34157.873,0,1056.790,47100115.303,7552.133,0.628,6057.723,50444.127,34157.873,1741.580,1073.057
156,392,270900.0,87962.600,87962.600,1461.072,1100493.996,27258.795,0,771.217,101022.702,335.496,129.190,36503.875
156,392,271000.0,1100493.996,87962.600,1461.072,1100493.996,27258.795,0,771.217,101022.702,335.496,129.190,36503.875
156,392,300210.0,129.190,87962.600,1461.072,1100493.996,27258.795,0,771.217,101022.702,335.496,129.190,36503.875
156,392,300490.0,771.217,87962.600,1461.072,1100493.996,27258.795,0,771.217,101022.702,335.496,129.190,36503.875
156,392,710812.0,0,87962.600,1461.072,1100493.996,27258.795,0,771.217,101022.702,335.496,129.190,36503.875
156,392,847193.0,36503.875,87962.600,1461.072,1100493.996,27258.795,0,771.217,101022.702,335.496,129.190,36503.875
156,392,847330.0,101022.702,87962.600,1461.072,1100493.996,27258.795,0,771.217,101022.702,335.496,129.190,36503.875
156,392,852520.0,27258.795,87962.600,1461.072,1100493.996,27258.795,0,771.217,101022.702,335.496,129.190,36503.875
156,392,854211.0,1461.072,87962.600,1461.072,1100493.996,27258.795,0,771.217,101022.702,335.496,129.190,36503.875
156,392,870323.0,335.496,87962.600,1461.072,1100493.996,27258.795,0,771.217,101022.702,335.496,129.190,36503.875
392,156,271000.0,961419.371,0,25246.120,961419.371,302.128,0.516,3140.621,5414.957,245021.263,108.353,76.281
392,156,300210.0,108.353,0,25246.120,961419.371,302.128,0.516,3140.621,5414.957,245021.263,108.353,76.281
392,156,300490.0,3140.621,0,25246.120,961419.371,302.128,0.516,3140.621,5414.957,245021.263,108.353,76.281
392,156,710812.0,0.516,0,25246.120,961419.371,302.128,0.516,3140.621,5414.957,245021.263,108.353,76.281
392,156,847193.0,76.281,0,25246.120,961419.371,302.128,0.516,3140.621,5414.957,245021.263,108.353,76.281
392,156,847330.0,5414.957,0,25246.120,961419.371,302.128,0.516,3140.621,5414.957,245021.263,108.353,76.281
392,156,852520.0,302.128,0,25246.120,961419.371,302.128,0.516,3140.621,5414.957,245021.263,108.353,76.281
392,156,854211.0,25246.120,0,25246.120,961419.371,302.128,0.516,3140.621,5414.957,245021.263,108.353,76.281
392,156,870323.0,245021.263,0,25246.120,961419.371,302.128,0.516,3140.621,5414.957,245021.263,108.353,76.281
410,156,270900.0,129956.000,129956.000,3930.315,14712574.216,331.453,0.244,1977.316,5438.068,35.002,132.948,210.833
410,156,271000.0,14712574.216,129956.000,3930.315,14712574.216,331.453,0.244,1977.316,5438.068,35.002,132.948,210.833
